"STUB_1","East Coast","Appalachian No. 1","Total","Indiana, Illinois, Kentucky","Minnesota, Wisconsin, North and South Dakota","Oklahoma, Kansas, Missouri","Total","Texas Inland","Texas Gulf Coast","Louisiana Gulf Coast","North Louisiana, Arkansas","New Mexico","Total","PAD District 4 - Rocky Mountain","PAD District 5 - West Coast","U.S. Total"
"Liquefied Refinery Gases","3.5","0.5","3.3","4.1","1.2","1.7","3.1","3.3","4.8","4.8","0.7","0.9","4.5","2.1","2.1","3.7"
"Finished Motor Gasoline","47.4","37.8","46.7","52.5","51.4","49.5","51.7","53.3","43.4","42.1","29.4","51.7","43.4","47.3","46.7","46.0"
"Finished Aviation Gasoline","–","–","–","–","0.4","–","0.1","0.3","0.1","0.1","–","–","0.1","0.0","0.1","0.1"
"Kerosene-Type Jet Fuel","8.8","–","8.1","7.8","6.2","3.8","6.7","6.6","8.8","10.6","2.5","–","9.1","5.1","17.5","9.6"
"Kerosene","0.3","0.0","0.3","0.2","–","0.0","0.1","0.1","0.0","0.3","0.2","–","0.1","0.0","0.0","0.1"
"Distillate Fuel Oil","29.0","26.4","28.8","25.3","28.3","38.3","28.6","30.3","30.8","32.0","34.9","40.9","31.5","33.4","22.7","29.5"
"Residual Fuel Oil","4.4","0.4","4.1","1.7","2.0","0.5","1.5","1.5","1.7","2.9","-1.2","1.5","2.1","2.1","4.6","2.5"
"Naphtha for Petro. Feed. Use","0.4","–","0.4","0.9","0.0","0.1","0.6","0.5","2.9","1.0","0.0","–","1.8","–","0.0","1.1"
"Other Oils for Petro. Feed. Use","–","–","–","0.2","–","0.1","0.2","0.1","1.3","1.1","–","–","1.1","–","–","0.6"
"Special Naphthas","–","0.8","0.1","0.0","–","0.1","0.0","0.5","0.5","–","3.2","–","0.4","–","0.1","0.2"
"Lubricants","0.6","6.4","1.0","–","–","1.0","0.2","0.1","1.3","1.6","11.3","–","1.6","–","0.8","1.1"
"Waxes","–","0.2","0.0","–","–","0.2","0.0","–","0.0","0.0","0.4","–","0.0","–","–","0.0"
"Petroleum Coke","3.2","0.7","3.0","5.3","4.8","3.6","4.8","2.2","6.4","5.6","1.9","1.1","5.6","4.1","5.8","5.2"
"Asphalt and Road Oil","3.3","22.4","4.7","3.7","8.2","1.8","3.9","1.2","0.3","0.8","14.8","2.2","0.9","5.6","1.1","2.0"
"Still Gas","3.7","2.2","3.6","3.6","4.0","4.0","3.7","3.8","4.4","4.0","2.9","2.2","4.1","4.0","4.9","4.1"
"Miscellaneous Products","0.2","1.1","0.2","0.4","0.7","0.2","0.4","0.7","0.8","0.5","0.0","0.0","0.7","0.6","0.5","0.6"
"Processing Gain(-) or Loss(+)","-4.8","1.1","-4.3","-5.8","-7.4","-4.6","-5.7","-4.5","-7.5","-7.2","-1.2","-0.6","-6.9","-4.2","-6.9","-6.4"
