"STUB_1","East Coast","Appalachian No. 1","Total","Indiana, Illinois, Kentucky","Minnesota, Wisconsin, North and South Dakota","Oklahoma, Kansas, Missouri","Total","Texas Inland","Texas Gulf Coast","Louisiana Gulf Coast","North Louisiana, Arkansas","New Mexico","Total","PAD District 4 - Rocky Mountain","PAD District 5 - West Coast","U.S. Total"
"Liquefied Refinery Gases","14,069","154","14,223","33,983","2,191","4,842","41,016","7,774","75,908","61,463","581","401","146,127","4,588","18,375","224,329"
"Ethane/Ethylene","170","–","170","–","1","–","1","15","1,789","128","–","–","1,932","–","–","2,103"
"Ethane","–","–","–","–","1","–","1","15","1,660","128","–","–","1,803","–","–","1,804"
"Ethylene","170","–","170","–","–","–","–","–","129","–","–","–","129","–","–","299"
"Propane/Propylene","13,256","282","13,538","28,678","4,529","7,546","40,753","7,351","67,529","55,881","278","579","131,618","3,349","14,811","204,069"
"Propane","8,341","282","8,623","18,545","2,863","5,395","26,803","2,825","29,247","19,914","221","579","52,786","3,210","12,001","103,423"
"Propylene","4,915","–","4,915","10,133","1,666","2,151","13,950","4,526","38,282","35,967","57","–","78,832","139","2,810","100,646"
"Normal Butane/Butylene","748","100","848","5,047","-1,995","-2,250","802","773","11,853","2,517","303","-180","15,266","1,258","2,416","20,590"
"Normal Butane","733","100","833","4,417","-1,995","-2,248","174","773","15,170","3,738","303","-201","19,783","726","2,419","23,935"
"Butylene","15","–","15","630","–","-2","628","0","-3,317","-1,221","–","21","-4,517","532","-3","-3,345"
"Isobutane/Isobutylene","-105","-228","-333","258","-344","-454","-540","-365","-5,263","2,937","–","2","-2,689","-19","1,148","-2,433"
"Isobutane","-105","-228","-333","258","-344","-454","-540","-365","-4,982","2,937","–","2","-2,408","-19","1,148","-2,152"
"Isobutylene","–","–","–","–","–","–","–","–","-281","–","–","–","-281","–","–","-281"
"Finished Motor Gasoline","1,044,102","91,166","1,135,268","613,374","135,060","189,566","938,000","241,763","311,281","137,213","96,129","19,979","806,365","115,734","564,750","3,560,117"
"Reformulated","455,987","4,201","460,188","103,431","17,588","12,473","133,492","78,980","76,613","–","–","–","155,593","–","398,958","1,148,231"
"Reformulated Blended with Fuel Ethanol","455,987","4,201","460,188","103,431","17,588","12,473","133,492","78,980","76,613","–","–","–","155,593","–","398,958","1,148,231"
"Reformulated Other","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Conventional","588,115","86,965","675,080","509,943","117,472","177,093","804,508","162,783","234,668","137,213","96,129","19,979","650,772","115,734","165,792","2,411,886"
"Conventional Blended with Fuel Ethanol","635,398","85,775","721,173","466,669","122,407","165,521","754,597","147,716","20,759","51,434","115,899","18,984","354,792","105,896","159,154","2,095,612"
"Ed55 and Lower","635,268","85,775","721,043","466,590","122,199","165,207","753,996","147,647","20,759","51,434","115,822","18,984","354,646","105,835","159,083","2,094,603"
"Greater than Ed55","130","–","130","79","208","314","601","69","–","–","77","–","146","61","71","1,009"
"Conventional Other","-47,283","1,190","-46,093","43,274","-4,935","11,572","49,911","15,067","213,909","85,779","-19,770","995","295,980","9,838","6,638","316,274"
"Finished Aviation Gasoline","–","–","–","–","739","–","739","660","970","987","–","–","2,617","70","527","3,953"
