"STUB_1","Crude Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Residual Fuel Oil","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellanous  Products","Total Products","Total Crude Oil and Products"
"Gabon","10","–","–","2","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","–","0","–","–","–","–","–","1","–","–","–","0","0","0","0","2","12"
"Germany","–","0","–","1","–","0","0","1","1","2","0","0","0","0","–","–","-5","–","3","–","-3","0","–","–","0","0","0","0","–","0","-2","0","-1","0","-2","-2"
"Guatemala","8","0","-7","0","–","-27","-27","–","-1","-1","–","–","0","–","–","–","-11","-6","-3","–","-20","0","–","–","-1","–","-5","–","–","0","-3","0","-1","–","-64","-56"
"Honduras","–","0","-15","0","–","-11","-11","–","–","–","–","–","0","–","–","–","-4","-5","-6","–","-15","0","–","–","-2","–","-12","–","–","0","-3","0","0","–","-58","-58"
"India","-1","0","0","14","–","2","2","1","50","52","0","0","-2","0","–","–","4","0","–","–","4","0","–","–","11","0","2","0","–","0","-71","0","-3","0","9","8"
"Indonesia","36","0","–","0","–","-2","-2","–","–","–","0","0","0","5","–","–","–","–","–","–","–","0","–","–","–","–","–","–","–","0","0","0","0","0","3","38"
"Italy","-3","0","0","-17","–","1","1","1","5","6","–","0","0","–","–","–","-3","–","–","–","-3","–","–","–","–","–","1","0","–","0","-20","0","1","0","-31","-34"
"Japan","–","0","-71","-7","–","0","0","0","2","2","0","-23","0","–","–","–","1","–","–","–","1","1","–","–","7","4","0","1","–","0","-64","0","0","0","-148","-148"
"Korea, South","-3","0","-38","-9","–","0","0","1","5","6","0","0","-4","1","–","–","1","–","–","–","1","1","–","–","74","3","0","4","–","0","-11","0","10","0","40","37"
"Latvia","–","–","–","0","–","–","–","–","–","–","–","–","–","–","–","–","0","–","-1","–","-1","–","–","–","–","–","–","–","–","0","–","0","0","0","-1","-1"
"Lithuania","–","–","–","–","–","1","1","0","–","0","–","–","0","–","–","–","1","–","–","–","1","–","–","–","–","–","–","–","–","–","–","–","0","0","2","2"
"Malaysia","0","0","0","0","–","0","0","–","0","0","–","0","0","–","–","–","0","–","-6","–","-6","0","–","–","–","–","-2","0","–","0","0","-1","0","0","-8","-8"
"Mexico","688","0","-90","-13","–","-236","-236","0","-72","-72","-19","0","-2","-1","–","–","-142","-1","1","–","-142","0","–","–","-24","–","23","16","–","0","-43","-5","-11","0","-620","68"
"Netherlands","-5","-1","-47","-14","–","1","1","8","16","23","1","0","-2","–","–","–","-70","-15","-11","–","-96","0","–","–","-3","0","-21","1","–","0","-7","0","-1","0","-165","-169"
"Netherlands Antilles","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
