"STUB_1","Crude     Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Less than 0.31  % sulfur","0.31 to 1.00  % sulfur","Greater than 1.00 % sulfur","Total","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellaneous Products","Total Products","Total Crude Oil and Products","Crude  Oil","Products","Total"
"OPEC","663,981","789","–","35,639","–","–","–","–","421","421","191","–","–","–","–","–","–","–","–","–","–","–","–","–","–","463","515","914","539","1,968","420","4","23","82","–","2,413","–","42,413","706,394","1,819","116","1,935"
"Algeria","1,060","640","–","29,968","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","369","–","–","369","21","–","–","–","–","–","–","30,998","32,058","3","85","88"
"Angola","13,358","–","–","3,672","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","566","–","566","–","–","–","–","–","–","–","4,238","17,596","37","12","48"
"Ecuador","18,518","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","79","–","–","–","–","–","–","–","–","–","–","–","79","18,597","51","0","51"
"Iran","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Iraq","59,161","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","59,161","162","–","162"
"Kuwait","50,232","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","50,232","138","–","138"
"Libya","–","–","–","736","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","217","177","394","–","–","–","–","–","–","–","1,130","1,130","–","3","3"
"Nigeria","3,610","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","3,610","10","–","10"
"Qatar","–","–","–","–","–","–","–","–","64","64","65","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","23","–","–","2,413","–","2,565","2,565","–","7","7"
"Saudi Arabia","239,706","–","–","–","–","–","–","–","–","–","46","–","–","–","–","–","–","–","–","–","–","–","–","–","–","384","–","–","–","–","231","–","–","–","–","–","–","661","240,367","657","2","659"
"United Arab Emirates","–","–","–","593","–","–","–","–","–","–","67","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","43","–","–","–","–","–","–","703","703","–","2","2"
"Venezuela","278,336","149","–","670","–","–","–","–","357","357","13","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","146","131","362","639","125","4","–","82","–","–","–","2,039","280,375","763","6","768"
"Non-OPEC","495,825","3,166","633","128,144","–","944","944","–","4,237","4,237","1,123","–","143","2,947","443","–","135","–","3,780","–","3,915","–","–","–","–","4,609","1,922","2,305","9,584","13,811","9,959","1,609","413","1,761","–","5,427","–","183,360","679,185","1,358","502","1,861"
"Argentina","1,345","–","–","–","–","66","66","–","331","331","123","–","–","1,700","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","137","1,016","–","246","–","23","–","3,642","4,987","4","10","14"
"Aruba","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Australia","1,795","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,795","5","–","5"
"Bahamas","–","–","–","268","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","268","268","–","1","1"
"Bahrain","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","866","–","866","866","–","2","2"
"Belgium","–","–","–","17,723","–","–","–","–","–","–","58","–","–","–","–","–","–","–","291","–","291","–","–","–","–","14","–","–","350","350","49","–","–","–","–","53","–","18,539","18,539","–","51","51"
"Brazil","50,840","–","123","779","–","848","848","–","762","762","341","–","143","–","–","–","–","–","2","–","2","–","–","–","–","267","–","356","309","665","759","–","15","192","–","–","–","4,896","55,736","139","13","153"
"Brunei","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Cameroon","–","–","–","456","–","–","–","–","–","–","–","–","–","–","–","–","–","–","36","–","36","–","–","–","–","–","–","88","–","88","–","–","–","–","–","–","–","580","580","–","2","2"
"Canada","123,494","–","–","3,053","–","–","–","–","–","–","–","–","–","63","–","–","–","–","546","–","546","–","–","–","–","1,065","93","–","–","93","110","92","–","–","–","–","–","5,022","128,516","338","14","352"
"Chad","13,316","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","13,316","36","–","36"
"China","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","52","–","–","–","–","52","52","–","0","0"
"Colombia","68,931","–","–","637","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","3","361","364","–","–","–","–","–","–","–","1,001","69,932","189","3","192"
"Congo (Brazzaville)","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Denmark","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Egypt","542","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","542","1","–","1"
"Equatorial Guinea","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Estonia","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Finland","–","–","–","20","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","12","–","32","32","–","0","0"
"France","–","–","–","3,589","–","–","–","–","–","–","–","–","–","–","–","–","–","–","12","–","12","–","–","–","–","–","–","–","–","–","22","305","31","–","–","68","–","4,027","4,027","–","11","11"
"Gabon","–","–","–","687","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","687","687","–","2","2"
"Germany","–","–","–","309","–","–","–","–","–","–","44","–","–","–","–","–","63","–","991","–","1,054","–","–","–","–","50","–","–","–","–","39","–","–","119","–","61","–","1,679","1,679","–","5","5"
"Guatemala","2,916","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","2,916","8","–","8"
"India","–","–","–","1,207","–","–","–","–","831","831","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","112","–","–","–","–","33","–","1","–","–","–","–","2,184","2,184","–","6","6"
"Indonesia","–","–","–","–","–","–","–","–","–","–","–","–","–","1,184","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","57","–","1,241","1,241","–","3","3"
"Italy","–","–","–","1,170","–","–","–","–","–","–","–","–","–","–","–","–","41","–","–","–","41","–","–","–","–","–","–","170","56","226","42","–","82","–","–","307","–","1,894","1,894","–","5","5"
"Korea, South","–","–","–","162","–","–","–","–","86","86","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,205","–","–","–","–","1,485","–","–","–","–","3,505","–","6,443","6,443","–","18","18"
"Latvia","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Lithuania","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Malaysia","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","23","–","178","–","–","–","–","201","201","–","1","1"
"Mexico","223,295","–","425","–","–","30","30","–","410","410","–","–","–","–","–","–","–","–","277","–","277","–","–","–","–","–","150","11","6,928","7,089","5,872","–","–","–","–","–","–","14,103","237,398","612","39","650"
"Netherlands","–","–","38","6,827","–","–","–","–","50","50","537","–","–","–","–","–","23","–","232","–","255","–","–","–","–","72","220","260","–","480","411","–","–","–","–","14","–","8,694","8,694","–","24","24"
"Netherlands Antilles","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Norway","2,164","–","–","4,373","–","–","–","–","–","–","–","–","–","–","–","–","–","–","25","–","25","–","–","–","–","–","–","–","–","–","–","–","–","133","–","–","–","4,531","6,695","6","12","18"
"Oman","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Portugal","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","2","–","2","–","–","–","–","–","–","–","–","–","5","–","–","–","–","–","–","7","7","–","0","0"
"Russia","–","246","–","80,940","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,122","–","1,122","–","–","–","–","–","1,139","516","1,139","2,794","7","–","–","–","–","34","–","85,152","85,152","–","233","233"
"Spain","–","–","47","956","–","–","–","–","448","448","–","–","–","–","–","–","–","–","30","–","30","–","–","–","–","–","–","–","150","150","19","–","–","727","–","–","–","2,377","2,377","–","7","7"
"Sweden","–","–","–","238","–","–","–","–","–","–","–","–","–","–","–","–","–","–","159","–","159","–","–","–","–","–","–","–","–","–","–","–","–","–","–","11","–","408","408","–","1","1"
"Syria","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Trinidad and Tobago","2,537","–","–","327","–","–","–","–","589","589","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","320","–","–","320","–","–","–","–","–","–","–","1,236","3,773","7","3","10"
"United Kingdom","3,893","–","–","856","–","–","–","–","367","367","–","–","–","–","–","–","8","–","27","–","35","–","–","–","–","–","–","107","–","107","418","56","–","137","–","155","–","2,131","6,024","11","6","17"
"Vietnam","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Virgin Islands, U.S.","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Yemen","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other","757","2,920","0","3,567","–","0","0","–","363","363","20","–","0","0","443","–","0","–","28","–","28","–","–","–","–","1,824","0","794","291","1,085","528","140","54","207","–","261","–","11,467","12,224","2","30","33"
"Total","1,159,806","3,955","633","163,783","–","944","944","–","4,658","4,658","1,314","–","143","2,947","443","–","135","–","3,780","–","3,915","–","–","–","–","5,072","2,437","3,219","10,123","15,779","10,379","1,613","436","1,843","–","7,840","–","225,773","1,385,579","3,178","619","3,796"
"Persian Gulf","349,099","–","–","593","–","–","–","–","64","64","178","–","–","–","–","–","–","–","–","–","–","–","–","–","–","384","–","–","–","–","274","–","23","–","–","3,279","–","4,795","353,894","956","13","970"
