"STUB_1","Crude Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Residual Fuel Oil","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellanous  Products","Total Products","Total Crude Oil and Products","Crude Oil","Products","Total"
"Argentina","–","5","1","203","–","933","933","–","0","0","–","0","2","–","–","–","18,778","383","1,524","–","20,685","0","–","–","777","–","0","–","–","3","3","3","612","4","23,231","23,231","–","64","64"
"Australia","–","8","23","9","–","303","303","1","0","1","–","0","1","–","–","–","0","–","0","–","0","–","–","–","–","–","0","–","–","3","2,466","58","273","5","3,150","3,150","–","9","9"
"Bahamas","–","1","309","136","–","1,113","1,113","0","1,001","1,001","–","5","3","–","–","–","2,211","29","962","–","3,202","1","–","–","525","–","5,301","–","–","–","–","17","30","–","11,645","11,645","–","32","32"
"Bahrain","–","–","–","0","–","3","3","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","6","–","9","9","–","0","0"
"Belgium","–","11","3,037","336","–","–","–","–","1","1","52","0","2","0","–","–","7,299","1,509","829","–","9,637","1","–","–","320","–","0","–","–","16","1,957","2","2,777","1","18,149","18,149","–","50","50"
"Belize","–","0","0","–","–","199","199","–","0","0","–","0","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","14","–","214","214","–","1","1"
"Brazil","641","30","17,335","9,340","–","464","464","–","830","830","0","0","2,681","0","–","–","16,631","821","2,443","–","19,895","0","–","–","952","–","1,080","–","–","5","12,501","2","2,742","7","67,863","68,505","2","186","188"
"Canada","156,034","65,958","31,769","4,531","–","5,659","5,659","2","14,307","14,309","–","3","5,987","1,787","–","–","2,013","8,322","660","–","10,995","2,729","–","–","19,207","–","13,637","–","–","1,071","9,506","2,680","2,766","75","192,669","348,703","427","528","955"
"Cayman Islands","–","0","633","–","–","180","180","–","0","0","–","–","0","0","–","–","482","–","46","–","528","–","–","–","49","–","0","–","–","–","–","3","23","–","1,417","1,417","–","4","4"
"Chile","–","1","6,700","1,573","–","3,758","3,758","0","620","620","2,038","0","21","–","–","–","34,464","1,506","–","–","35,970","1","–","–","1,850","–","33","–","–","6","275","507","968","1","54,321","54,321","–","149","149"
"China","420","45","41,007","6,372","–","59","59","–","152","152","0","1","1,759","–","–","–","6","0","–","–","6","3","–","–","1","–","1,026","–","–","34","18,358","31","581","8","69,444","69,864","1","190","191"
"Colombia","–","13","55","14,462","–","10,630","10,630","1","1,763","1,764","–","0","52","0","–","–","32,059","–","285","–","32,344","4","–","–","2,119","–","209","–","–","3","3","3","1,177","4","62,841","62,841","–","172","172"
"Costa Rica","–","1","1,349","4","–","5,728","5,728","0","1,513","1,513","59","0","1","0","–","–","6,903","–","585","–","7,487","0","–","–","1,365","–","522","–","–","0","698","231","264","1","19,223","19,223","–","53","53"
"Denmark","–","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","300","–","–","–","300","–","–","–","298","–","794","–","–","1","563","0","2","–","1,957","1,957","–","5","5"
"Dominican Republic","–","1","11,841","12","–","749","749","–","130","130","–","–","6","–","–","–","2,394","1,092","2,967","–","6,452","1","–","–","750","–","1,385","–","–","1","2,041","314","268","1","23,951","23,951","–","66","66"
"Ecuador","–","0","9,656","132","–","11,680","11,680","–","1,923","1,923","–","0","0","–","–","–","15,162","2,458","264","–","17,883","2","–","–","206","–","1,305","–","–","2","1,598","2","507","0","44,898","44,898","–","123","123"
"Egypt","–","0","1,055","0","–","2","2","–","0","0","0","–","3","–","–","–","410","132","–","–","541","0","–","–","–","–","6,214","–","–","2","1,854","1","39","3","9,713","9,713","–","27","27"
"El Salvador","–","0","0","2","–","3,278","3,278","0","0","0","–","–","0","–","–","–","912","912","1,211","–","3,034","0","–","–","240","–","830","–","–","0","518","–","250","–","8,153","8,153","–","22","22"
"Finland","–","–","–","0","–","0","0","–","–","–","–","0","0","–","–","–","–","–","–","–","–","50","–","–","555","–","0","–","–","–","569","0","11","–","1,186","1,186","–","3","3"
"France","624","108","2,529","705","–","1","1","198","0","199","164","2","0","–","–","–","32,337","248","609","–","33,195","0","–","–","–","–","0","–","–","18","2,065","0","713","0","39,698","40,322","2","109","110"
"Germany","–","0","–","26","–","6","6","–","0","0","–","0","3","–","–","–","2,010","–","–","–","2,010","0","–","–","0","–","10","–","–","13","815","10","477","9","3,380","3,380","–","9","9"
"Ghana","–","0","1,157","–","–","0","0","–","–","–","–","–","1","0","–","–","329","312","586","–","1,227","1","–","–","–","–","0","–","–","–","–","0","7","–","2,392","2,392","–","7","7"
"Gibraltar","–","–","578","–","–","–","–","–","–","–","–","–","–","–","–","–","14,536","1,018","1,761","–","17,315","–","–","–","311","–","2,192","–","–","–","–","–","–","–","20,395","20,395","–","56","56"
"Greece","–","–","578","0","–","0","0","–","0","0","–","–","–","–","–","–","0","–","–","–","0","–","–","–","–","–","–","–","–","0","5,129","–","5","–","5,712","5,712","–","16","16"
"Guatemala","–","9","2,642","12","–","9,673","9,673","–","213","213","–","–","1","–","–","–","3,847","2,197","1,161","–","7,206","0","–","–","365","–","1,724","–","–","1","1,104","35","242","–","23,226","23,226","–","64","64"
"Honduras","–","2","5,620","3","–","3,874","3,874","–","–","–","–","–","0","–","–","–","1,475","1,811","2,167","–","5,453","1","–","–","579","–","4,344","–","–","0","997","64","125","–","21,062","21,062","–","58","58"
"Hong Kong","–","0","0","2","–","–","–","–","–","–","–","1","1","–","–","–","1","–","–","–","1","1","–","–","0","–","0","–","–","4","–","0","20","2","31","31","–","0","0"
"India","309","3","0","105","–","0","0","0","0","0","0","1","886","0","–","–","1","0","–","–","1","0","–","–","–","–","1","–","–","23","26,080","11","1,027","2","28,139","28,448","1","77","78"
"Indonesia","–","0","–","26","–","753","753","–","–","–","0","0","0","–","–","–","–","–","–","–","–","0","–","–","–","–","–","–","–","2","1","13","19","1","814","814","–","2","2"
"Ireland","–","–","–","0","–","0","0","–","–","–","–","0","3","0","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","0","1,021","–","1","0","1,026","1,026","–","3","3"
"Israel","–","0","6","11","–","460","460","40","2","43","–","0","1","–","–","–","806","–","–","–","806","1","–","–","1,697","–","–","–","–","1","1,515","0","42","0","4,583","4,583","–","13","13"
"Italy","1,558","0","58","7,357","–","–","–","–","0","0","–","0","0","–","–","–","965","–","–","–","965","–","–","–","–","–","0","–","–","6","7,176","1","104","1","15,669","17,228","4","43","47"
"Jamaica","–","1","871","3","–","4","4","–","–","–","–","–","308","–","–","–","183","–","1,313","–","1,497","0","–","–","81","–","3,416","–","–","0","–","1","200","1","6,383","6,383","–","17","17"
"Japan","–","3","25,933","2,467","–","11","11","0","9","9","0","8,456","2","–","–","–","2","–","–","–","2","3","–","–","1","–","0","–","–","13","23,454","7","222","39","60,622","60,622","–","166","166"
"Korea, South","972","6","13,999","3,277","–","5","5","1","44","45","0","1","1,313","0","–","–","82","–","–","–","82","1","–","–","–","–","0","–","–","4","3,833","19","58","6","22,648","23,621","3","62","65"
"Lebanon","–","–","–","0","–","0","0","–","–","–","–","0","1","–","–","–","275","247","276","–","798","0","–","–","–","–","4,390","–","–","1","1,560","–","16","–","6,766","6,766","–","19","19"
"Mexico","–","176","33,173","4,601","–","86,516","86,516","12","26,830","26,842","7,064","17","803","280","–","–","51,810","323","65","–","52,199","59","–","–","8,644","–","9,452","–","–","171","15,755","1,770","4,146","173","251,843","251,843","–","690","690"
"Montenegro","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Morocco","–","0","2,985","23","–","1","1","–","–","–","–","–","–","–","–","–","3,963","–","–","–","3,963","–","–","–","–","–","785","–","–","–","5,238","–","0","–","12,996","12,996","–","36","36"
"Mozambique","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","695","–","0","–","695","695","–","2","2"
"Netherlands","1,740","227","17,177","12,510","–","576","576","–","53","53","–","0","807","–","–","–","26,008","5,645","4,111","–","35,764","5","–","–","1,230","–","9,852","–","–","12","2,377","11","276","34","80,910","82,651","5","222","226"
"Netherlands Antilles","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"New Zealand","–","0","6","0","–","0","0","–","0","0","–","0","0","–","–","–","0","–","–","–","0","–","–","–","–","–","–","–","–","0","586","5","14","–","613","613","–","2","2"
"Nicaragua","–","1","–","160","–","201","201","–","–","–","–","–","1","0","–","–","187","190","–","–","377","0","–","–","0","–","102","–","–","0","242","–","65","–","1,149","1,149","–","3","3"
"Nigeria","–","0","1,719","0","–","616","616","–","–","–","–","0","161","–","–","–","325","–","282","–","606","1,864","–","–","5,093","–","0","–","–","0","121","1","290","–","10,472","10,472","–","29","29"
"Norway","–","0","–","0","–","0","0","–","0","0","–","0","27","–","–","–","1,157","–","–","–","1,157","–","–","–","482","–","–","–","–","1","1,082","3","4","0","2,757","2,757","–","8","8"
"Pakistan","–","–","–","–","–","–","–","–","–","–","–","0","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","0","1","4","0","6","6","–","0","0"
"Panama","–","0","8,421","301","–","10,657","10,657","–","200","200","–","0","4","0","–","–","12,423","3,169","2,052","–","17,644","6","–","–","5,798","–","11,753","–","–","0","928","252","234","1","56,201","56,201","–","154","154"
"Peru","–","3","812","249","–","4,080","4,080","–","451","451","–","0","655","21","–","–","19,772","25","275","–","20,072","1","–","–","1,501","–","0","–","–","1","214","2","865","1","28,928","28,928","–","79","79"
"Philippines","–","0","–","2","–","254","254","–","138","138","–","0","1,739","–","–","–","369","0","–","–","369","–","–","–","–","–","0","–","–","1","1","1","24","1","2,529","2,529","–","7","7"
"Portugal","–","–","2,079","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","1,440","–","1","–","3,520","3,520","–","10","10"
"Puerto Rico","–","9","28","9","–","37","37","0","1","1","0","4","197","0","–","–","1","–","0","–","1","0","–","–","–","–","671","–","–","1","266","4","186","0","1,414","1,414","–","4","4"
"Romania","–","–","–","–","–","0","0","–","–","–","–","–","–","–","–","–","796","–","–","–","796","–","–","–","–","–","0","–","–","–","1,306","–","2","–","2,105","2,105","–","6","6"
"Saudi Arabia","–","0","0","25","–","2","2","0","0","1","0","0","6","–","–","–","1","–","–","–","1","0","–","–","–","–","0","–","–","1","904","–","104","0","1,044","1,044","–","3","3"
"Serbia","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Singapore","–","1","9,832","1,578","–","1,857","1,857","0","0","1","–","7","242","–","–","–","597","194","1,686","–","2,477","2","–","–","0","–","27,741","–","–","1","1","107","629","0","44,478","44,478","–","122","122"
"South Africa","–","0","1,016","0","–","44","44","–","–","–","–","0","0","1","–","–","3","–","–","–","3","–","–","–","30","–","0","–","–","1","476","2","763","2","2,340","2,340","–","6","6"
"Spain","2,612","0","4,118","0","–","939","939","–","0","0","–","0","0","–","–","–","2,485","302","671","–","3,457","–","–","–","22","–","0","–","–","3","10,706","189","24","0","19,460","22,072","7","53","60"
"Switzerland","4,828","0","1,513","3,531","–","–","–","–","0","0","–","0","83","–","–","–","0","–","300","–","300","–","–","–","–","–","269","–","–","0","0","–","19","0","5,714","10,543","13","16","29"
"Taiwan","–","3","589","1,197","–","1","1","–","0","0","0","0","11","–","–","–","0","–","0","–","1","–","–","–","–","–","1","–","–","3","1","7","50","2","1,866","1,866","–","5","5"
"Thailand","–","0","0","8","–","–","–","0","0","0","–","0","–","–","–","–","1","–","–","–","1","–","–","–","–","–","1","–","–","9","396","13","50","3","481","481","–","1","1"
"Trinidad and Tobago","–","1","3","44","–","2","2","0","1","1","–","0","0","0","–","–","160","–","–","–","160","0","–","–","35","–","0","–","–","0","1","2","195","0","444","444","–","1","1"
"Turkey","–","1","3,254","1","–","0","0","–","1","1","–","0","0","–","–","–","2,072","–","–","–","2,072","1","–","–","–","–","0","–","–","0","17,698","1","51","–","23,081","23,081","–","63","63"
"United Arab Emirates","–","0","1","2","–","2","2","–","0","0","–","0","681","0","–","–","0","–","–","–","0","2","–","–","0","–","1,507","–","–","1","262","3","300","0","2,762","2,762","–","8","8"
"United Kingdom","–","0","7,230","653","–","6","6","0","0","0","–","1","4","0","–","–","19,358","125","0","–","19,483","–","–","–","2,299","–","1,175","–","–","4","1,373","6","128","1","32,362","32,362","–","89","89"
"Venezuela","–","1","1,198","11,442","–","2,196","2,196","1","1,162","1,162","3,954","0","0","–","–","–","1,922","602","1,181","–","3,705","3","–","–","–","–","1,950","–","–","0","367","1","729","–","26,709","26,709","–","73","73"
