"STUB_1","East Coast","Appalachian No. 1","Total","Indiana, Illinois, Kentucky","Minnesota, Wisconsin, North and South Dakota","Oklahoma, Kansas, Missouri","Total","Texas Inland","Texas Gulf Coast","Louisiana Gulf Coast","North Louisiana, Arkansas","New Mexico","Total","PAD District 4 - Rocky Mountain","PAD District 5 - West Coast","U.S. Total"
"Crude Oil","11,877","694","12,571","10,455","2,405","2,134","14,994","1,806","26,813","17,993","1,182","339","48,133","2,224","22,658","100,580"
"Petroleum Products","16,501","2,146","18,647","30,624","7,384","11,832","49,840","8,851","54,872","47,644","4,551","1,411","117,329","11,814","51,061","248,691"
"Pentanes Plus","–","–","–","32","–","264","296","50","52","279","–","16","397","24","1","718"
"Liquefied Petroleum Gases","853","52","905","3,134","597","1,088","4,819","1,896","1,371","3,415","10","40","6,732","407","1,462","14,325"
"Ethane/Ethylene","–","–","–","–","–","–","–","82","–","–","–","–","82","–","–","82"
"Propane/Propylene","290","6","296","1,328","50","456","1,834","956","81","783","3","2","1,825","44","105","4,104"
"Normal Butane/Butylene","410","30","440","1,531","481","251","2,263","729","1,067","1,979","1","21","3,797","220","924","7,644"
"Isobutane/Isobutylene","153","16","169","275","66","381","722","129","223","653","6","17","1,028","143","433","2,495"
"Oxygenates/Renewable Fuels/Other Hydrocarbons","86","71","157","97","46","29","172","38","158","233","73","5","507","96","195","1,127"
"Oxygenates (excluding Fuel Ethanol)","–","–","–","–","–","–","–","–","104","–","–","–","104","–","–","104"
"Methyl Tertiary Butyl Ether (MTBE)","–","–","–","–","–","–","–","–","104","–","–","–","104","–","–","104"
"All Other Oxygenates","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Renewable Fuels (including Fuel Ethanol)","86","71","157","55","46","29","130","38","54","233","73","5","403","96","195","981"
"Fuel Ethanol","86","67","153","38","32","24","94","31","24","61","29","5","150","87","44","528"
"Renewable Diesel Fuel","–","4","4","17","14","5","36","7","30","172","44","–","253","9","151","453"
"Other Renewable Fuels","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other Hydrocarbons","–","–","–","42","–","–","42","–","–","–","–","–","–","–","–","42"
"Unfinished Oils","4,866","486","5,352","7,540","609","4,353","12,502","2,006","19,117","13,846","884","508","36,361","3,514","20,272","78,001"
"Naphthas and Lighter","1,230","332","1,562","1,971","158","984","3,113","540","5,326","2,714","204","155","8,939","782","3,019","17,415"
"Kerosene and Light Gas Oils","552","–","552","1,501","222","687","2,410","728","3,339","1,888","234","169","6,358","725","3,937","13,982"
"Heavy Gas Oils","1,997","149","2,146","2,713","229","2,153","5,095","300","7,974","7,175","422","184","16,055","1,524","10,943","35,763"
"Residuum","1,087","5","1,092","1,355","–","529","1,884","438","2,478","2,069","24","–","5,009","483","2,373","10,841"
"Motor Gasoline Blending Components (MGBC)","5,445","195","5,640","8,303","2,021","2,571","12,895","2,371","12,895","12,989","377","324","28,956","3,075","13,334","63,900"
"Reformulated - RBOB","1,641","–","1,641","1,345","40","–","1,385","145","1,179","241","–","–","1,565","–","5,385","9,976"
"Conventional","3,804","195","3,999","6,958","1,981","2,571","11,510","2,226","11,716","12,748","377","324","27,391","3,075","7,949","53,924"
"CBOB","557","162","719","2,592","1,194","1,700","5,486","1,046","3,828","6,245","207","78","11,404","1,466","1,757","20,832"
"GTAB","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other","3,247","33","3,280","4,366","787","871","6,024","1,180","7,888","6,503","170","246","15,987","1,609","6,192","33,092"
"Aviation Gasoline Blending Components","–","–","–","–","–","–","–","8","–","–","–","–","8","–","–","8"
"Finished Motor Gasoline","–","31","31","1,379","177","344","1,900","307","1,829","1,523","2","73","3,734","1,100","781","7,546"
"Reformulated","–","–","–","–","–","–","–","–","–","–","–","–","–","–","14","14"
"Reformulated Blended with Fuel Ethanol","–","–","–","–","–","–","–","–","–","–","–","–","–","–","14","14"
"Reformulated Other","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Conventional","–","31","31","1,379","177","344","1,900","307","1,829","1,523","2","73","3,734","1,100","767","7,532"
"Conventional Blended with Fuel Ethanol","–","–","–","–","–","–","–","–","–","–","–","–","–","34","–","34"
"Ed55 and Lower","–","–","–","–","–","–","–","–","–","–","–","–","–","34","–","34"
"Greater than Ed55","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Conventional Other","–","31","31","1,379","177","344","1,900","307","1,829","1,523","2","73","3,734","1,066","767","7,498"
"Finished Aviation Gasoline","–","–","–","–","87","–","87","51","140","124","–","–","315","6","114","522"
"Kerosene-Type Jet Fuel","425","–","425","1,472","296","279","2,047","362","2,695","2,491","95","–","5,643","300","3,485","11,900"
"Kerosene","122","2","124","170","–","19","189","73","6","100","5","–","184","2","18","517"
"Distillate Fuel Oil","3,100","262","3,362","3,554","1,324","1,695","6,573","743","5,553","6,575","589","150","13,610","2,105","5,635","31,285"
"15 ppm sulfur and under","2,083","103","2,186","3,374","1,102","1,558","6,034","697","4,970","5,202","452","150","11,471","1,863","4,765","26,319"
"Greater than 15 ppm to 500 ppm sulfur","67","137","204","–","118","58","176","15","83","548","30","–","676","156","326","1,538"
"Greater than 500 ppm sulfur","950","22","972","180","104","79","363","31","500","825","107","–","1,463","86","544","3,428"
"Residual Fuel Oil","643","13","656","798","181","58","1,037","78","1,982","1,380","31","64","3,535","238","2,606","8,072"
"Less than 0.31 percent sulfur","137","11","148","–","20","–","20","10","–","187","–","–","197","7","88","460"
"0.31 to 1.00 percent sulfur","26","2","28","66","22","–","88","–","147","64","31","4","246","7","573","942"
"Greater than 1.00 percent sulfur","480","–","480","732","139","58","929","68","1,835","1,129","–","60","3,092","224","1,945","6,670"
"Petrochemical Feedstocks","151","–","151","655","96","4","755","139","1,611","628","1","–","2,379","–","2","3,287"
"Naphtha for Petro. Feed. Use","151","–","151","492","96","4","592","35","935","387","1","–","1,358","–","2","2,103"
"Other Oils for Petro. Feed. Use","–","–","–","163","–","–","163","104","676","241","–","–","1,021","–","–","1,184"
"Special Naphthas","–","13","13","59","–","17","76","86","639","–","98","–","823","–","62","974"
"Lubricants","307","365","672","–","–","244","244","51","3,578","2,295","1,075","–","6,999","–","808","8,723"
"Waxes","–","301","301","–","–","42","42","–","72","108","50","–","230","–","–","573"
"Petroleum Coke","–","–","–","644","361","191","1,196","38","2,767","757","–","–","3,562","93","1,464","6,315"
"Marketable","–","–","–","644","361","191","1,196","38","2,767","757","–","–","3,562","93","1,464","6,315"
"Catalyst","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Asphalt and Road Oil","492","329","821","2,702","1,561","630","4,893","413","157","761","1,260","229","2,820","836","757","10,127"
"Miscellaneous Products","11","26","37","85","28","4","117","141","250","140","1","2","534","18","65","771"
"Total Stocks, All Oils","28,378","2,840","31,218","41,079","9,789","13,966","64,834","10,657","81,685","65,637","5,733","1,750","165,462","14,038","73,719","349,271"
