"Table 14.  Natural Gas Plant Net Production and Stocks of Petroleum Products by PAD and Refining Districts,  2005",,,,,,,,,,,,,,,,,,
,,          (Thousand Barrels),,,,,,,,,,,,,,,,
Commodity,,,PAD District 1,,,PAD District 2,,,,PAD District 3,,,,,,PAD Dist. 4,PAD Dist. 5,U.S. Total
,,,East Coast,Appalachian No. 1,Total,"IN, IL, KY","MN, WI, ND, SD","OK, KS, MO",Total,Texas Inland,Texas Gulf Coast,LA Gulf Coast,"N. LA, AR",New Mexico,Total,Rocky Mt.,West Coast,
,,,Net Production,,,,,,,Net Production,,,,,,,,
Natural Gas Liquids,,,359,"5,914","6,273","26,874","4,786","77,174","108,834","212,465","39,720","84,074","4,455","69,063","409,777","73,658","28,161","626,703"
,Pentanes Plus,,52,"1,019","1,071","1,371","1,213","9,464","12,048","33,304","5,140","12,654","1,105","7,457","59,660","10,806","13,633","97,218"
,Liquefied Petroleum Gases,,307,"4,895","5,202","25,503","3,573","67,710","96,786","179,161","34,580","71,420","3,350","61,606","350,117","62,852","14,528","529,485"
,,Ethane,82,66,148,"13,465",0,"28,916","42,381","83,743","17,500","28,876",994,"33,249","164,362","29,950",44,"236,885"
,,Propane,136,"3,223","3,359","8,343","2,251","25,880","36,474","60,161","10,807","26,040","1,232","18,686","116,926","20,635","4,842","182,236"
,,Normal Butane,89,986,"1,075","2,107","1,322","7,597","11,026","21,529","-12,879","9,098",696,"6,062","24,506","8,662","3,593","48,862"
,,Isobutane,0,620,620,"1,588",0,"5,317","6,905","13,728","19,152","7,406",428,"3,609","44,323","3,605","6,049","61,502"
,,,Stocks,,,,,,,Stocks,,,,,,,,
Natural Gas Liquids,,,12,60,72,197,75,304,576,254,"1,762",794,7,61,"2,878",150,110,"3,786"
,Pentanes Plus,,0,32,32,33,32,96,161,51,146,321,0,7,525,47,11,776
,Liquefied Petroleum Gases,,12,28,40,164,43,208,415,203,"1,616",473,7,54,"2,353",103,99,"3,010"
,,Ethane,0,0,0,17,0,58,75,81,442,0,0,0,523,2,0,600
,,Propane,5,21,26,97,27,64,188,96,520,54,5,28,703,50,29,996
,,Normal Butane,7,5,12,28,16,71,115,15,535,231,2,18,801,36,24,988
,,Isobutane,0,2,2,22,0,15,37,11,119,188,0,8,326,15,46,426
