"Table 37.  Net Movements of Crude Oil and Petroleum Products by Pipeline, Tanker, and Barge Between PAD Districts,  2005",,,,,,,,,,,,,,,,,,
,,,       (Thousand Barrels),,,,,,,,,,,,,,,
Commodity,,,, PAD District 1,,,PAD District 2,,,PAD District 3,,,PAD District 4,,,PAD District 5,,
,,,,Receipts,Shipments,Net Receipts,Receipts,Shipments,Net Receipts,Receipts,Shipments,Net Receipts,Receipts,Shipments,Net Receipts,Receipts,Shipments,Net Receipts
Crude Oil,,,,"8,377","5,116","3,261","716,075","33,506","682,569","21,435","677,144","-655,709","14,544","44,665","-30,121",0,0,0
Petroleum Products,,,,"1,153,611","125,406","1,028,205","573,221","116,684","456,537","134,149","1,612,547","-1,478,398","22,556","81,549","-58,993","53,957","1,308","52,649"
,Pentanes Plus,,,0,0,0,"10,551","1,445","9,106","6,582","9,438","-2,856",20,"6,270","-6,250",0,0,0
,Liquefied Petroleum Gases,,,"37,139",145,"36,994","72,800","64,684","8,116","96,744","90,236","6,508",667,"52,285","-51,618",0,0,0
,,Ethane/Ethylene,,0,0,0,"13,894","33,998","-20,104","59,102","11,106","47,996",0,"27,892","-27,892",0,0,0
,,Propane/Propylene,,"36,220",70,"36,150","42,665","23,772","18,893","24,147","64,942","-40,795",649,"14,897","-14,248",0,0,0
,,Normal Butane/Butylene,,919,75,844,"8,633","5,206","3,427","8,608","7,270","1,338",18,"5,627","-5,609",0,0,0
,,Isobutane/Isobutylene,,0,0,0,"7,608","1,708","5,900","4,887","6,918","-2,031",0,"3,869","-3,869",0,0,0
,Unfinished Oils,,,242,200,42,"10,751","4,822","5,929","4,692","11,461","-6,769",0,0,0,798,0,798
,Motor Gasoline Blending Components,,,"6,914",690,"6,224","49,194","1,998","47,196","2,235","68,020","-65,785",0,0,0,"12,678",313,"12,365"
,,Reformulated,,"4,337",270,"4,067","31,281",24,"31,257",561,"46,594","-46,033",0,0,0,"11,022",313,"10,709"
,,,GTAB,576,222,354,131,0,131,535,"1,144",-609,0,0,0,437,313,124
,,,RBOB for Blending with Ether,120,0,120,0,0,0,0,120,-120,0,0,0,0,0,0
,,,RBOB for Blending with Alcohol,"3,641",48,"3,593","31,150",24,"31,126",26,"45,330","-45,304",0,0,0,"10,585",0,"10,585"
,,Conventional,,"2,577",420,"2,157","17,913","1,974","15,939","1,674","21,426","-19,752",0,0,0,"1,656",0,"1,656"
,,,CBOB for Blending with Alcohol,920,0,920,"4,951",0,"4,951",0,"5,871","-5,871",0,0,0,0,0,0
,,,GTAB,0,0,0,103,0,103,0,103,-103,0,0,0,0,0,0
,,,Other,"1,657",420,"1,237","12,859","1,974","10,885","1,674","15,452","-13,778",0,0,0,"1,656",0,"1,656"
,Finished Motor Gasoline,,,"608,732","77,721","531,011","222,409","23,829","198,580","11,721","773,509","-761,788","14,533","16,352","-1,819","34,165",149,"34,016"
,,Reformulated,,"93,844",80,"93,764","5,110","4,751",359,"4,796","108,493","-103,697",0,0,0,"9,574",0,"9,574"
,,,Reformulated Blended with Ether,"93,844",35,"93,809","5,110","4,751",359,"4,751","108,493","-103,742",0,0,0,"9,574",0,"9,574"
,,,Reformulated Blended with Alcohol,0,45,-45,0,0,0,45,0,45,0,0,0,0,0,0
,,,Reformulated (Non-Oxygenated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Conventional,,"514,888","77,641","437,247","217,299","19,078","198,221","6,925","665,016","-658,091","14,533","16,352","-1,819","24,591",149,"24,442"
,,,Conventional Blended with Alcohol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Conventional Other,"514,888","77,641","437,247","217,299","19,078","198,221","6,925","665,016","-658,091","14,533","16,352","-1,819","24,591",149,"24,442"
,Finished Aviation Gasoline,,,"1,161",60,"1,101",604,0,604,60,"2,113","-2,053",0,0,0,348,0,348
,Kerosene-Type Jet Fuel,,,"180,302","7,034","173,268","54,670","2,046","52,624",142,"230,915","-230,773","3,443",548,"2,895","2,086",100,"1,986"
,Kerosene,,,258,59,199,407,247,160,100,238,-138,0,221,-221,0,0,0
,Distillate Fuel Oil,,,"284,141","38,401","245,740","135,555","9,873","125,682","5,395","378,458","-373,063","3,893","5,873","-1,980","3,851",230,"3,621"
,,15 ppm sulfur and Under,,294,0,294,"1,567",0,"1,567",130,"1,861","-1,731",0,0,0,0,130,-130
,,Greater than 15 ppm to 500 ppm sulfur,,"190,732","30,679","160,053","108,317","6,955","101,362","3,889","267,115","-263,226","3,893","5,716","-1,823","3,734",100,"3,634"
,,Greater than 500 ppm sulfur,,"93,115","7,722","85,393","25,671","2,918","22,753","1,376","109,482","-108,106",0,157,-157,117,0,117
,Residual Fuel Oil,,,"16,956",100,"16,856",791,"1,876","-1,085","1,812","17,583","-15,771",0,0,0,0,0,0
,Petrochemical Feedstocks,,,"1,519",869,650,"2,083","1,158",925,"1,472","3,057","-1,585",0,0,0,10,0,10
,,Naphtha for Petrochemical Feedstock Use,,"1,315",323,992,764,"1,086",-322,"1,310","1,990",-680,0,0,0,10,0,10
,,Other Oils for Petrochemical Feedstock Use,,204,546,-342,"1,319",72,"1,247",162,"1,067",-905,0,0,0,0,0,0
,Special Naphthas,,,130,0,130,"1,129",95,"1,034",195,"1,259","-1,064",0,0,0,0,100,-100
,Lubricants,,,"7,833",127,"7,706","6,293",892,"5,401","1,289","14,001","-12,712",0,0,0,21,416,-395
,Waxes,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
