"Table 31.  Net Imports of Crude Oil and Petroleum Products into the United States by Country,  2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          (Thousand Barrels per Day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of Origin,,,Crude Oila,Pentanes Plus,Liquefied Petroleum Gases,Unfinished Oils,Finished Motor Gasoline,,,Motor Gasoline Blend. Comp.,,,Oxygenates,,,Distillate Fuel Oil,,,,,Kerosene,Finished Aviation Gasoline,Aviation Gasoline Blend. Comp.,Kerosene-Type Jet Fuel,Special Naphthas,Residual Fuel Oil,Petrochemical Feedstocks,,Waxes,"Petroleum
 Coke",Asphalt and Road Oil,Lubricants,Misc. Products,Total Products,Total Crude Oil and Products
,,,,,,,Reformulated,Conventional,Total,Reform-ulated ,Conven-tional,Total,Fuel Ethanol (FE),Methyl Tertiary Butyl Ether (MTBE),Other Oxygen-ates,15 ppm sulfur and under,Greater than 15 ppm to 500 ppm sulfur,501 to 2000 ppm,Greater than 2000 ppm,Total,,,,,,,Naphtha,Other Oils,,,,,,,
,Ecuador,,276,0,0,1,0,1,1,0,2,2,0,0,0,0,-2,-6,0,-8,0,0,0,0,0,-4,1,0,0,0,0,0,0,-8,268
,Equatorial Guinea,,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,70
,Estonia,,0,0,0,3,0,2,2,1,23,23,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,33,33
,Finland,,0,0,0,0,0,4,4,1,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,13,13
,France,,-1,0,1,16,2,13,15,3,21,24,0,0,0,0,0,-4,0,-3,0,0,0,2,0,1,0,0,0,-8,0,0,0,49,48
,Gabon,,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127
,Germany,,0,0,0,40,0,12,12,0,16,16,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,-2,0,0,0,72,72
,Guatemala,,11,0,-2,0,0,-1,-1,0,-1,-1,0,0,0,0,-3,-4,0,-7,0,0,0,0,0,-4,0,0,0,0,0,0,0,-16,-5
,Honduras,,0,0,-1,0,0,-3,-3,0,-2,-2,0,0,0,0,0,-2,0,-3,0,0,0,-1,0,-4,0,0,0,0,0,0,0,-14,-14
,India,,0,0,0,8,0,2,2,5,4,8,0,0,0,0,0,2,0,2,0,1,0,4,0,-2,1,0,0,-7,0,-1,0,17,17
,Italy,,0,0,0,3,0,16,16,3,16,18,0,0,0,0,-1,0,0,-1,0,0,0,0,0,3,3,0,0,-26,0,-1,0,15,15
,Japan,,0,0,0,0,0,1,1,0,2,2,0,0,-2,1,1,0,0,2,0,0,0,3,-4,-1,0,0,0,-47,0,0,0,-45,-45
,"Korea, South",,0,0,0,1,0,4,4,0,1,1,0,0,0,0,4,1,0,5,0,0,0,42,-1,-6,0,0,0,-2,0,3,0,47,47
,Latvia,,0,0,0,0,1,0,1,2,16,18,0,0,0,0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24
,Lithuania,,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,22,22
,Malaysia,,10,0,0,5,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,11,21
,Mexico,,"1,556",2,-28,28,-8,-101,-109,0,-4,-4,0,-12,-1,0,-6,-19,0,-24,0,0,0,6,-10,-6,41,3,-2,-31,-2,-12,-2,-162,"1,394"
,Netherlands,,0,0,0,11,27,39,66,15,35,49,0,1,0,0,7,0,0,6,0,0,0,1,0,1,4,0,0,-14,0,0,0,126,126
,Netherlands Antilles,,0,0,0,1,0,2,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,-1,0,15,15
,Norway,,119,0,38,15,0,9,9,1,5,5,0,0,0,0,1,0,0,1,0,0,0,0,0,4,9,34,0,-2,0,0,0,112,231
,Oman,,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24
,Panama,,0,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,-2,-2,0,-4,0,0,0,0,0,-31,0,0,0,0,0,0,0,-37,-37
,Portugal,,0,0,0,0,1,4,5,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,2,2
,Puerto Rico,,0,0,0,0,0,0,0,0,-2,-2,0,0,0,0,-2,-2,0,-4,0,0,0,0,-2,-1,0,0,0,0,0,-1,0,-10,-10
,Russia,,199,0,0,67,2,14,16,5,48,53,0,0,0,0,0,4,6,10,0,0,0,1,0,53,4,7,0,0,0,0,0,211,410
,Spain,,0,0,0,0,1,8,8,2,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-31,0,0,0,-7,-7
,Sweden,,0,0,0,9,1,1,2,1,11,12,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,26,26
,Trinidad and Tobago,,64,7,1,6,0,0,0,0,8,9,1,0,0,0,0,0,0,0,0,0,0,3,0,24,0,0,0,0,0,0,0,49,112
,United Kingdom,,224,0,11,23,1,62,63,12,39,51,0,0,0,0,1,-1,0,0,1,0,0,-12,0,19,0,0,0,-6,0,1,0,151,375
,Vietnam,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
,"Virgin Islands, U.S.",,0,0,0,40,43,60,103,12,2,13,0,0,0,1,48,48,0,96,0,0,0,32,0,32,2,0,0,8,0,0,0,327,327
,Yemen,,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13
,Other,,71,0,2,54,-1,8,7,2,24,26,6,0,-2,0,-5,-27,0,-32,0,0,0,12,-1,-41,19,1,0,-64,0,-6,-4,-22,50
Total,,,"10,094",40,275,582,226,241,467,90,398,488,9,-1,-9,4,112,12,62,190,5,2,0,138,-7,279,151,159,-1,-315,32,-29,-6,"2,455","12,549"
Persian Gulfb,,,"2,207",0,20,3,0,7,8,2,10,11,0,21,0,0,1,0,0,1,3,0,0,17,1,2,34,0,0,2,0,0,0,123,"2,330"
