"Area","Product","October_2016","November_2016","YTD_2015","YTD_2016","PctChgMonthAgo","PctChgYearAgo","PctChg_YTD"
"New York","Reformulated",222780,221976,2316572,2368737,3.0,7.8,1.9
"New York","Midgrade",10070,9732,109216,112882,-0.1,0.6,3.0
"New York","Conventional",2353,2246,27616,27306,-1.4,-4.3,-1.4
"New York","Reformulated",7717,7486,81600,85576,0.2,2.1,4.6
"New York","Premium",65718,63974,669176,726143,0.6,7.1,8.2
"New York","Conventional",16114,14463,160989,184757,-7.3,7.9,14.4
"New York","Reformulated",49604,49511,508187,541386,3.1,6.9,6.2
"New York","Total Distillate","W","W","W","W","W","W","W"
"New York","No. 1 Distillate",434,"W","W","W",,"W","NA"
"New York","No. 2 Distillate",138058,149060,"W",1597885,11.6,4.8,"NA"
"New York","No. 2 Fuel Oil",37861,50888,598754,531515,38.9,-3.1,-11.5
"New York","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"New York","Ultra Low Sulfur","W","W","W","W","W","W","NA"
"New York","Low Sulfur","-","-","W","-","-","-","NA"
"New York","High Sulfur","W","W","W","W","W","W","NA"
"New York","No. 4 Fuel","W","W","W","W","W","W","NA"
"New York","Aviation Gasoline",301,219,2733,2796,-24.8,-5.6,2.0
"New York","Kerosene-Type Jet Fu",110235,102152,1101394,1167983,-4.2,2.1,5.7
"New York","Kerosene","W",2198,34456,"W",,-15.0,"NA"
"New York","Propane",20783,29061,366706,298434,44.5,4.5,-18.9
"New York","Residual Fuel Oil",20906,23253,"W",258543,14.9,21.1,"NA"
"New York","Sulfur Content  <= 1","W","W","W","W","W","W","NA"
"New York","Sulfur Content  > 1","W","W","W","W","W","W","NA"
"Pennsylvania","Motor Gasoline",268476,268604,2745143,2779599,3.4,10.4,1.0
"Pennsylvania","Regular",239321,238505,2427806,2461303,3.0,10.8,1.1
"Pennsylvania","Conventional",170991,161257,1666051,1694091,-2.5,3.7,1.4
"Pennsylvania","Reformulated",68330,77248,761755,767212,16.8,29.4,0.4
"Pennsylvania","Midgrade",4573,4453,53003,50255,0.6,-0.5,-5.5
"Pennsylvania","Conventional",2929,2812,32796,31795,-0.8,-1.2,-3.3
"Pennsylvania","Reformulated",1644,1641,20207,18460,3.1,0.7,-8.9
"Pennsylvania","Premium",24582,25646,264334,268041,7.8,8.7,1.1
"Pennsylvania","Conventional",13353,13677,144486,148259,5.8,3.8,2.3
"Pennsylvania","Reformulated",11229,11969,119848,119782,10.1,15.0,-0.4
"Pennsylvania","Total Distillate","W","W","W","W","W","W","W"
"Pennsylvania","No. 1 Distillate",26,20,"W","W",-20.5,,"NA"
"Pennsylvania","No. 2 Distillate",174191,177306,1998356,1921402,5.2,5.3,-4.1
"Pennsylvania","No. 2 Fuel Oil",34485,31018,372685,317260,-7.1,6.6,-15.1
"Pennsylvania","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"Pennsylvania","Ultra Low Sulfur","W","W","W","W","W","W","NA"
"Pennsylvania","Low Sulfur","-","-","-","-","-","-","-"
"Pennsylvania","High Sulfur","W","W","W","W","W","W","NA"
"Pennsylvania","No. 4 Fuel","-","-","-","-","-","-","-"
"Pennsylvania","Aviation Gasoline",204,260,3867,2759,31.7,-24.4,-28.9
"Pennsylvania","Kerosene-Type Jet Fu",62113,61262,262363,377413,1.9,126.0,43.4
"Pennsylvania","Kerosene",390,619,"W","W",64.0,,"NA"
"Pennsylvania","Propane",25343,31804,345258,302221,29.7,16.4,-12.7
"Pennsylvania","Residual Fuel Oil","W","W","W","W","W","W","NA"
"Pennsylvania","Sulfur Content  <= 1","W","W","W","W","W","W","NA"
"Pennsylvania","Sulfur Content  > 1","W","W","W","W","W","W","NA"
"Subdistrict 1C","Motor Gasoline",2012199,1938104,21149795,21837424,-0.5,2.1,2.9
"Subdistrict 1C","Regular",1744770,1689648,18411551,18987094,0.1,2.4,2.8
"Subdistrict 1C","Conventional",1600327,1549100,16966965,17484004,0.0,1.7,2.7
"Subdistrict 1C","Reformulated",144443,140548,1444586,1503090,0.5,10.7,3.7
"Subdistrict 1C","Midgrade",44747,40844,471675,479332,-5.7,-0.6,1.3
"Subdistrict 1C","Conventional",40607,36853,431414,439913,-6.2,-2.2,1.7
"Subdistrict 1C","Reformulated",4140,3991,40261,39419,-0.4,16.1,-2.4
"Subdistrict 1C","Premium",222682,207612,2266569,2370998,-3.7,0.3,4.3
"Subdistrict 1C","Conventional",195968,182159,1996744,2093092,-3.9,-0.2,4.5
"Subdistrict 1C","Reformulated",26714,25453,269825,277906,-1.5,4.7,2.7
"Subdistrict 1C","Total Distillate","W","W","W","W","W","W","W"
"Subdistrict 1C","No. 1 Distillate",591,395,"W","W",-30.9,-39.1,"NA"
"Subdistrict 1C","No. 2 Distillate",659897,648184,6953341,7209016,1.5,7.9,3.4
"Subdistrict 1C","No. 2 Fuel Oil",731,1551,26448,18528,119.2,-11.2,-30.2
"Subdistrict 1C","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"Subdistrict 1C","Ultra Low Sulfur","W","W","W","W","W","W","NA"
"Subdistrict 1C","Low Sulfur","-","-","W","-","-","-","NA"
"Subdistrict 1C","High Sulfur","W","W","W","W","W","W","NA"
"Subdistrict 1C","No. 4 Fuel","-","-","-","W","-","-","NA"
"Subdistrict 1C","Aviation Gasoline",2310,3040,28935,30543,36.0,28.2,5.2
"Subdistrict 1C","Kerosene-Type Jet Fu",135407,149542,1973385,1584862,14.1,-5.9,-19.9
"Subdistrict 1C","Kerosene",3650,2382,"W","W",-32.6,-7.8,"NA"
"Subdistrict 1C","Propane",77209,94766,971309,905586,26.8,14.7,-7.0
"Subdistrict 1C","Residual Fuel Oil",37543,"W",448560,"W",,"W","NA"
"Subdistrict 1C","Sulfur Content  <= 1","W","-","W","W","-","-","NA"
"Subdistrict 1C","Sulfur Content  > 1","W","W","W","W","W","W","NA"
"Florida","Motor Gasoline",621491,613780,6843252,6935133,2.1,-0.5,1.0
"Florida","Regular",536208,531278,5921998,5987464,2.4,-0.3,0.8
"Florida","Conventional",536208,531278,5921998,5987464,2.4,-0.3,0.8
"Florida","Reformulated","-","-","-","-","-","-","-"
"Florida","Midgrade",10366,9763,118457,115129,-2.7,-1.6,-3.1
"Florida","Conventional",10366,9763,118457,115129,-2.7,-1.6,-3.1
"Florida","Reformulated","-","-","-","-","-","-","-"
"Florida","Premium",74917,72739,802797,832540,0.3,-1.8,3.4
"Florida","Conventional",74917,72739,802797,832540,0.3,-1.8,3.4
"Florida","Reformulated","-","-","-","-","-","-","-"
"Florida","Total Distillate","W","W","W","W","W","W","W"
"Florida","No. 1 Distillate","W","-","W","W","-","-","NA"
"Florida","No. 2 Distillate",180576,"W","W","W",,"W","NA"
"Florida","No. 2 Fuel Oil","-","-","-","-","-","-","-"
"Florida","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"Florida","Ultra Low Sulfur","W",177977,"W","W",,,"NA"
"Florida","Low Sulfur","-","-","W","-","-","-","NA"
"Florida","High Sulfur","W","W","W","W","W","W","NA"
"Florida","No. 4 Fuel","-","-","-","-","-","-","-"
"Florida","Aviation Gasoline",1163,1768,16872,17542,57.1,25.6,3.7
"Florida","Kerosene-Type Jet Fu",69940,88681,1212423,895398,31.0,-17.5,-26.4
"Florida","Kerosene","W","W","W","W","W","W","NA"
"Florida","Propane",15409,"NA",159220,"W",,"NA","NA"
"Florida","Residual Fuel Oil",26501,30069,292057,281920,17.2,4.1,-3.8
"Florida","Sulfur Content  <= 1","W","-","W","W","-","-","NA"
"Florida","Sulfur Content  > 1","W",30069,"W","W",,4.1,"NA"
"Georgia","Motor Gasoline",416935,386138,4245441,4544129,-4.3,1.0,6.7
"Georgia","Regular",359080,334933,3668558,3935582,-3.6,1.6,7.0
"Georgia","Conventional",359080,334933,3668558,3935582,-3.6,1.6,7.0
"Georgia","Reformulated","-","-","-","-","-","-","-"
"Georgia","Midgrade",11017,9528,115469,118394,-10.6,-9.7,2.2
"Georgia","Conventional",11017,9528,115469,118394,-10.6,-9.7,2.2
"Georgia","Reformulated","-","-","-","-","-","-","-"
"Georgia","Premium",46838,41677,461414,490153,-8.1,-0.7,5.9
"Georgia","Conventional",46838,41677,461414,490153,-8.1,-0.7,5.9
"Georgia","Reformulated","-","-","-","-","-","-","-"
"Georgia","Total Distillate","W","W","W","W","W","W","W"
"Georgia","No. 1 Distillate","W","W","W","W","W","W","NA"
"Georgia","No. 2 Distillate",143583,134658,"W",1562079,-3.1,2.5,"NA"
"Georgia","No. 2 Fuel Oil","-","-","-","-","-","-","-"
"Georgia","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"Georgia","Ultra Low Sulfur","W","W","W","W","W","W","NA"
"Georgia","Low Sulfur","-","-","-","-","-","-","-"
"Georgia","High Sulfur","W","W","W","W","W","W","NA"
"Georgia","No. 4 Fuel","-","-","-","-","-","-","-"
"Georgia","Aviation Gasoline",411,449,4195,4498,12.9,24.4,6.9
"Georgia","Kerosene-Type Jet Fu",16835,15246,146152,169757,-6.4,40.7,15.8
"Georgia","Kerosene","W","W","W","W","W","W","NA"
"Georgia","Propane",13707,16375,166048,150414,23.4,7.2,-9.7
"Georgia","Residual Fuel Oil","W","W","W","W","W","W","NA"
"Georgia","Sulfur Content  <= 1","-","-","W","-","-","-","NA"
"Georgia","Sulfur Content  > 1","W","W","W","W","W","W","NA"
"North Carolina","Motor Gasoline",380685,368252,3907961,4055592,-0.0,5.2,3.5
"North Carolina","Regular",331004,323850,3447242,3553541,1.1,4.9,2.8
"North Carolina","Conventional",331004,323850,3447242,3553541,1.1,4.9,2.8
"North Carolina","Reformulated","-","-","-","-","-","-","-"
"North Carolina","Midgrade",9458,8431,92996,100005,-7.9,6.4,7.2
"North Carolina","Conventional",9458,8431,92996,100005,-7.9,6.4,7.2
"North Carolina","Reformulated","-","-","-","-","-","-","-"
"North Carolina","Premium",40223,35971,367723,402046,-7.6,7.8,9.0
"North Carolina","Conventional",40223,35971,367723,402046,-7.6,7.8,9.0
"North Carolina","Reformulated","-","-","-","-","-","-","-"
"North Carolina","Total Distillate","W","W","W","W","W","W","W"
"North Carolina","No. 1 Distillate","W","W","W","W","W","W","NA"
"North Carolina","No. 2 Distillate",110765,109264,1184545,"W",1.9,8.7,"NA"
"North Carolina","No. 2 Fuel Oil","W","W","W","W","W","W","NA"
"North Carolina","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"North Carolina","Ultra Low Sulfur","W","W","W","W","W","W","NA"
"North Carolina","Low Sulfur","-","-","-","-","-","-","-"
"North Carolina","High Sulfur","-","-","W","-","-","-","NA"
"North Carolina","No. 4 Fuel","-","-","-","-","-","-","-"
"North Carolina","Aviation Gasoline",343,327,3276,3492,-1.5,19.3,6.3
"North Carolina","Kerosene-Type Jet Fu",8611,8694,130905,86459,4.3,20.8,-34.2
"North Carolina","Kerosene","W","W","W","W","W","W","NA"
"North Carolina","Propane",22615,27122,306306,261169,23.9,14.7,-15.0
"North Carolina","Residual Fuel Oil","W","W","W","W","W","W","NA"
"North Carolina","Sulfur Content  <= 1","-","-","-","-","-","-","-"
"North Carolina","Sulfur Content  > 1","W","W","W","W","W","W","NA"
"South Carolina","Motor Gasoline",220326,210395,2336728,2405656,-1.3,2.0,2.6
"South Carolina","Regular",193628,185637,2048455,2114907,-0.9,3.2,2.9
"South Carolina","Conventional",193628,185637,2048455,2114907,-0.9,3.2,2.9
"South Carolina","Reformulated","-","-","-","-","-","-","-"
"South Carolina","Midgrade",6207,5766,66223,68862,-4.0,-2.5,3.7
"South Carolina","Conventional",6207,5766,66223,68862,-4.0,-2.5,3.7
"South Carolina","Reformulated","-","-","-","-","-","-","-"
"South Carolina","Premium",20491,18992,222050,221887,-4.2,-6.7,-0.4
"South Carolina","Conventional",20491,18992,222050,221887,-4.2,-6.7,-0.4
"South Carolina","Reformulated","-","-","-","-","-","-","-"
"South Carolina","Total Distillate","W","W","W","W","W","W","W"
"South Carolina","No. 1 Distillate","-","-","W","W","-","-","NA"
"South Carolina","No. 2 Distillate",82012,82045,"W","W",3.4,11.6,"NA"
"South Carolina","No. 2 Fuel Oil","-","W","W","W","W","W","NA"
"South Carolina","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"South Carolina","Ultra Low Sulfur","W",82018,"W","W",,11.6,"NA"
"South Carolina","Low Sulfur","-","-","-","-","-","-","-"
"South Carolina","High Sulfur","W","W","W","W","W","W","NA"
"South Carolina","No. 4 Fuel","-","-","-","W","-","-","NA"
"South Carolina","Aviation Gasoline","W",180,"W","W",,14.6,"NA"
"South Carolina","Kerosene-Type Jet Fu",5452,5206,76627,68539,-1.3,-5.0,-10.8
"South Carolina","Kerosene",297,323,"W","W",12.4,,"NA"
"South Carolina","Propane",12895,16918,162012,148727,35.6,7.2,-8.5
"South Carolina","Residual Fuel Oil","W","W","W","W","W","W","NA"
"South Carolina","Sulfur Content  <= 1","-","-","W","W","-","-","NA"
"South Carolina","Sulfur Content  > 1","W","W","W","W","W","W","NA"
"Virginia","Motor Gasoline",308705,298056,3180281,3239223,-0.2,5.1,1.5
"Virginia","Regular",264879,256365,2733784,2782453,0.0,5.2,1.5
"Virginia","Conventional",120436,115817,1289198,1279363,-0.6,-0.8,-1.1
"Virginia","Reformulated",144443,140548,1444586,1503090,0.5,10.7,3.7
"Virginia","Midgrade",6721,6436,67112,66142,-1.0,10.5,-1.7
"Virginia","Conventional",2581,2445,26851,26723,-2.1,2.5,-0.8
"Virginia","Reformulated",4140,3991,40261,39419,-0.4,16.1,-2.4
"Virginia","Premium",37105,35255,379385,390628,-1.8,3.4,2.7
"Virginia","Conventional",10391,9802,109560,112722,-2.5,0.0,2.6
"Virginia","Reformulated",26714,25453,269825,277906,-1.5,4.7,2.7
"Virginia","Total Distillate","W","W","W","W","W","W","W"
"Virginia","No. 1 Distillate","W","W","W","W","W","W","NA"
"Virginia","No. 2 Distillate",112294,112525,"W",1187288,3.5,7.8,"NA"
"Virginia","No. 2 Fuel Oil",390,612,21659,"W",62.2,-51.4,"NA"
"Virginia","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"Virginia","Ultra Low Sulfur","W","W","W","W","W","W","NA"
"Virginia","Low Sulfur","-","-","W","-","-","-","NA"
"Virginia","High Sulfur","W","W","W","W","W","W","NA"
"Virginia","No. 4 Fuel","-","-","-","-","-","-","-"
"Virginia","Aviation Gasoline",211,280,"W","W",37.1,89.2,"NA"
"Virginia","Kerosene-Type Jet Fu",33937,31118,399917,357772,-5.3,13.8,-10.8
"Virginia","Kerosene","W","W","W","W","W","W","NA"
"Virginia","Propane",9900,14039,148135,136767,46.5,16.0,-7.9
"Virginia","Residual Fuel Oil","W","W","W","W","W","W","NA"
"Virginia","Sulfur Content  <= 1","-","-","W","-","-","-","NA"
"Virginia","Sulfur Content  > 1","W","W","W","W","W","W","NA"
"West Virginia","Motor Gasoline",64057,61483,636132,657691,-0.8,3.4,3.1
"West Virginia","Regular",59971,57585,591514,613147,-0.8,3.8,3.3
"West Virginia","Conventional",59971,57585,591514,613147,-0.8,3.8,3.3
"West Virginia","Reformulated","-","-","-","-","-","-","-"
"West Virginia","Midgrade",978,920,11418,10800,-2.8,-5.2,-5.7
"West Virginia","Conventional",978,920,11418,10800,-2.8,-5.2,-5.7
"West Virginia","Reformulated","-","-","-","-","-","-","-"
"West Virginia","Premium",3108,2978,33200,33744,-1.0,-0.1,1.3
"West Virginia","Conventional",3108,2978,33200,33744,-1.0,-0.1,1.3
"West Virginia","Reformulated","-","-","-","-","-","-","-"
"West Virginia","Total Distillate","W","W","W","W","W","W","W"
"West Virginia","No. 1 Distillate","W","W","W","W","W","W","NA"
"West Virginia","No. 2 Distillate",30667,"W","W","W",,"W","NA"
"West Virginia","No. 2 Fuel Oil","W",296,"W","W",,,"NA"
"West Virginia","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"West Virginia","Ultra Low Sulfur","W","W","W","W","W","W","NA"
"West Virginia","Low Sulfur","-","-","-","-","-","-","-"
"West Virginia","High Sulfur","-","-","-","-","-","-","-"
"West Virginia","No. 4 Fuel","-","-","-","-","-","-","-"
"West Virginia","Aviation Gasoline","W",36,"W","W",,56.5,"NA"
"West Virginia","Kerosene-Type Jet Fu",632,597,7361,6937,-2.4,-1.2,-6.0
"West Virginia","Kerosene","W",123,"W","W",,,"NA"
"West Virginia","Propane",2683,2680,29588,37120,3.2,20.2,25.1
"West Virginia","Residual Fuel Oil","-","-","-","-","-","-","-"
"West Virginia","Sulfur Content  <= 1","-","-","-","-","-","-","-"
"West Virginia","Sulfur Content  > 1","-","-","-","-","-","-","-"
"PAD District 2","Motor Gasoline",3192903,3081742,33305977,34251603,-0.3,3.6,2.5
"PAD District 2","Regular",2902823,2804918,30212458,31049921,-0.2,3.7,2.5
"PAD District 2","Conventional",2464803,2383779,25653095,26333262,-0.1,4.0,2.3
"PAD District 2","Reformulated",438020,421139,4559363,4716659,-0.6,2.2,3.1
"PAD District 2","Midgrade",51476,48853,593057,566886,-1.9,-4.4,-4.7
"PAD District 2","Conventional",44109,41987,513415,484690,-1.6,-4.6,-5.9
"PAD District 2","Reformulated",7367,6866,79642,82196,-3.7,-2.8,2.9
"PAD District 2","Premium",238604,227971,2500462,2634796,-1.3,4.7,5.1
"PAD District 2","Conventional",188795,179638,1985312,2092428,-1.7,5.0,5.1
"PAD District 2","Reformulated",49809,48333,515150,542368,0.3,3.7,5.0
"PAD District 2","Total Distillate","W","W","W","W","W","W","W"
"PAD District 2","No. 1 Distillate",12161,34809,"W","W",195.8,-11.1,"NA"
"PAD District 2","No. 2 Distillate",1703674,1551033,16705293,16255375,-5.9,9.6,-3.0
"PAD District 2","No. 2 Fuel Oil",1899,1764,"W",21344,-4.0,-7.9,"NA"
"PAD District 2","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"PAD District 2","Ultra Low Sulfur","W",1549269,"W","W",,9.6,"NA"
"PAD District 2","Low Sulfur","-","-","W","W","-","-","NA"
"PAD District 2","High Sulfur","W","-","W","W","-","-","NA"
"PAD District 2","No. 4 Fuel","W","W","W","W","W","W","NA"
"PAD District 2","Aviation Gasoline",3153,2938,32972,33150,-3.7,19.7,0.2
"PAD District 2","Kerosene-Type Jet Fu",309133,303017,3436942,3412495,1.3,-6.5,-1.0
"PAD District 2","Kerosene","W","W","W","W","W","W","NA"
"PAD District 2","Propane",294565,246481,2953324,2616943,-13.5,-0.2,-11.7
"PAD District 2","Residual Fuel Oil","W","W","W","W","W","W","NA"
"PAD District 2","Sulfur Content  <= 1","-","-","W","-","-","-","NA"
"PAD District 2","Sulfur Content  > 1","W","W","W","W","W","W","NA"
"Illinois","Motor Gasoline",416291,401227,4363247,4470609,-0.4,2.3,2.2
"Illinois","Regular",371320,357424,3885103,3978262,-0.5,2.3,2.1
"Illinois","Conventional",137194,131349,1479936,1476092,-1.1,1.4,-0.6
"Illinois","Reformulated",234126,226075,2405167,2502170,-0.2,2.8,3.7
"Illinois","Midgrade",6281,5876,72181,69690,-3.3,-4.0,-3.7
"Illinois","Conventional",2550,2469,32917,28511,0.1,-9.4,-13.6
"Illinois","Reformulated",3731,3407,39264,41179,-5.6,0.3,4.6
"Illinois","Premium",38690,37927,405963,422657,1.3,3.7,3.8
"Illinois","Conventional",6674,6688,78017,77805,3.6,0.5,-0.6
"Illinois","Reformulated",32016,31239,327946,344852,0.8,4.4,4.8
"Illinois","Total Distillate","W","W","W","W","W","W","W"
"Illinois","No. 1 Distillate",252,1501,"W","W",515.5,-52.5,"NA"
"Illinois","No. 2 Distillate",207680,185526,2023068,1953891,-7.7,6.6,-3.7
"Illinois","No. 2 Fuel Oil","-","-","-","-","-","-","-"
"Illinois","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"Illinois","Ultra Low Sulfur",207680,185526,"W",1953891,-7.7,6.6,"NA"
"Illinois","Low Sulfur","-","-","-","-","-","-","-"
"Illinois","High Sulfur","-","-","W","-","-","-","NA"
"Illinois","No. 4 Fuel","-","-","-","-","-","-","-"
"Illinois","Aviation Gasoline",251,320,3137,3066,31.7,5.3,-2.6
"Illinois","Kerosene-Type Jet Fu",89988,79166,932583,953354,-9.1,-9.0,1.9
"Illinois","Kerosene",87,183,"W","W",117.4,-28.2,"NA"
"Illinois","Propane",25601,24586,366713,296321,-0.8,-11.0,-19.4
"Illinois","Residual Fuel Oil","-","-","-","W","-","-","NA"
"Illinois","Sulfur Content  <= 1","-","-","-","-","-","-","-"
"Illinois","Sulfur Content  > 1","-","-","-","W","-","-","NA"
"Indiana","Motor Gasoline",271624,266333,2836571,2940789,1.3,5.2,3.4
"Indiana","Regular",250600,246035,2611880,2707917,1.5,5.5,3.4
"Indiana","Conventional",215668,211702,2253034,2325485,1.4,5.5,2.9
"Indiana","Reformulated",34932,34333,358846,382432,1.6,5.4,6.3
"Indiana","Midgrade",4105,3944,46893,46779,-0.7,-1.3,-0.5
"Indiana","Conventional",3349,3215,38022,37982,-0.8,1.0,-0.4
"Indiana","Reformulated",756,729,8871,8797,-0.4,-10.4,-1.1
"Indiana","Premium",16919,16354,177798,186093,-0.1,2.8,4.4
"Indiana","Conventional",13825,13297,143046,149996,-0.6,3.9,4.5
"Indiana","Reformulated",3094,3057,34752,36097,2.1,-1.9,3.6
"Indiana","Total Distillate","W","W","W","W","W","W","W"
"Indiana","No. 1 Distillate",123,412,"W","W",246.1,,"NA"
"Indiana","No. 2 Distillate",147081,141371,1618551,1504368,-0.7,12.9,-7.3
"Indiana","No. 2 Fuel Oil","W","W","W","W","W","W","NA"
"Indiana","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"Indiana","Ultra Low Sulfur","W","W","W","W","W","W","NA"
"Indiana","Low Sulfur","-","-","-","-","-","-","-"
"Indiana","High Sulfur","-","-","-","-","-","-","-"
"Indiana","No. 4 Fuel","-","-","-","-","-","-","-"
"Indiana","Aviation Gasoline",218,221,2482,2473,4.8,43.5,-0.7
"Indiana","Kerosene-Type Jet Fu",23793,26583,282310,290530,15.5,-20.2,2.6
"Indiana","Kerosene",369,638,"W","W",78.7,,"NA"
"Indiana","Propane",14555,12115,165969,150020,-14.0,2.8,-9.9
"Indiana","Residual Fuel Oil","W","W","W","W","W","W","NA"
"Indiana","Sulfur Content  <= 1","-","-","W","-","-","-","NA"
"Indiana","Sulfur Content  > 1","W","W","W","W","W","W","NA"
"Iowa","Motor Gasoline",103249,107370,1057413,1097643,7.5,19.1,3.5
"Iowa","Regular",90418,95136,910207,953000,8.7,21.7,4.4
"Iowa","Conventional",90418,95136,910207,953000,8.7,21.7,4.4
"Iowa","Reformulated","-","-","-","-","-","-","-"
"Iowa","Midgrade",3081,2961,37401,33829,-0.7,-3.1,-9.8
"Iowa","Conventional",3081,2961,37401,33829,-0.7,-3.1,-9.8
"Iowa","Reformulated","-","-","-","-","-","-","-"
"Iowa","Premium",9750,9273,109805,110814,-1.7,4.3,0.6
"Iowa","Conventional",9750,9273,109805,110814,-1.7,4.3,0.6
"Iowa","Reformulated","-","-","-","-","-","-","-"
"Iowa","Total Distillate","W","W","W","W","W","W","W"
"Iowa","No. 1 Distillate",914,5181,"W","W",485.7,4.0,"NA"
"Iowa","No. 2 Distillate",116174,95698,938409,941515,-14.9,14.6,0.0
"Iowa","No. 2 Fuel Oil","W","W","W","W","W","W","NA"
"Iowa","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"Iowa","Ultra Low Sulfur","W","W","W","W","W","W","NA"
"Iowa","Low Sulfur","-","-","-","-","-","-","-"
"Iowa","High Sulfur","-","-","-","-","-","-","-"
"Iowa","No. 4 Fuel","-","-","-","-","-","-","-"
"Iowa","Aviation Gasoline",135,150,1736,1558,14.8,41.5,-10.5
"Iowa","Kerosene-Type Jet Fu",2731,2555,34487,32286,-3.3,-10.4,-6.7
"Iowa","Kerosene",29,34,"W","W",21.1,-10.5,"NA"
"Iowa","Propane",47294,21778,260869,252905,-52.4,3.0,-3.3
"Iowa","Residual Fuel Oil","-","-","-","-","-","-","-"
"Iowa","Sulfur Content  <= 1","-","-","-","-","-","-","-"
"Iowa","Sulfur Content  > 1","-","-","-","-","-","-","-"
"Kansas","Motor Gasoline",136507,130446,1419778,1464719,-1.3,5.1,2.9
"Kansas","Regular",125200,119171,1305363,1339674,-1.6,4.5,2.3
"Kansas","Conventional",125200,119171,1305363,1339674,-1.6,4.5,2.3
"Kansas","Reformulated","-","-","-","-","-","-","-"
"Kansas","Midgrade",1852,1825,20716,20470,1.8,5.5,-1.5
"Kansas","Conventional",1852,1825,20716,20470,1.8,5.5,-1.5
"Kansas","Reformulated","-","-","-","-","-","-","-"
"Kansas","Premium",9455,9450,93699,104575,3.3,13.3,11.3
"Kansas","Conventional",9455,9450,93699,104575,3.3,13.3,11.3
"Kansas","Reformulated","-","-","-","-","-","-","-"
"Kansas","Total Distillate","W","W","W","W","W","W","W"
"Kansas","No. 1 Distillate",1302,3305,"W","W",162.3,-16.5,"NA"
"Kansas","No. 2 Distillate",98543,92423,923261,935565,-3.1,27.5,1.0
"Kansas","No. 2 Fuel Oil","-","-","-","-","-","-","-"
"Kansas","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"Kansas","Ultra Low Sulfur",98543,92423,923261,"W",-3.1,27.5,"NA"
"Kansas","Low Sulfur","-","-","-","-","-","-","-"
"Kansas","High Sulfur","-","-","-","-","-","-","-"
"Kansas","No. 4 Fuel","-","-","-","-","-","-","-"
"Kansas","Aviation Gasoline",249,221,2344,2222,-8.3,42.6,-5.5
"Kansas","Kerosene-Type Jet Fu",4375,4001,57080,51245,-5.5,-16.8,-10.5
"Kansas","Kerosene",37,81,"W","W",126.2,6.6,"NA"
"Kansas","Propane",20565,18908,295096,215527,-5.0,-19.7,-27.2
"Kansas","Residual Fuel Oil","-","-","-","-","-","-","-"
"Kansas","Sulfur Content  <= 1","-","-","-","-","-","-","-"
"Kansas","Sulfur Content  > 1","-","-","-","-","-","-","-"
"Kentucky","Motor Gasoline",172897,167561,1800635,1871392,0.1,4.3,3.6
"Kentucky","Regular",159401,154682,1658075,1724514,0.3,4.6,3.7
"Kentucky","Conventional",125347,124981,1299425,1353202,3.0,7.9,3.8
"Kentucky","Reformulated",34054,29701,358650,371312,-9.9,-7.3,3.2
"Kentucky","Midgrade",2488,2391,29399,28169,-0.7,-9.7,-4.5
"Kentucky","Conventional",1922,1853,22615,21457,-0.4,-8.1,-5.4
"Kentucky","Reformulated",566,538,6784,6712,-1.8,-14.9,-1.4
"Kentucky","Premium",11008,10488,113161,118709,-1.5,4.8,4.6
"Kentucky","Conventional",7999,7811,81901,85067,0.9,9.6,3.6
"Kentucky","Reformulated",3009,2677,31260,33642,-8.1,-7.2,7.3
"Kentucky","Total Distillate","W","W","W","W","W","W","W"
"Kentucky","No. 1 Distillate","W","W","W","W","W","W","NA"
"Kentucky","No. 2 Distillate",83368,78682,869144,874400,-2.5,7.0,0.3
"Kentucky","No. 2 Fuel Oil","W","W","W","W","W","W","NA"
"Kentucky","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"Kentucky","Ultra Low Sulfur","W","W","W","W","W","W","NA"
"Kentucky","Low Sulfur","-","-","-","-","-","-","-"
"Kentucky","High Sulfur","-","-","-","-","-","-","-"
"Kentucky","No. 4 Fuel","W","W","W","W","W","W","NA"
"Kentucky","Aviation Gasoline",131,106,1114,1178,-16.4,-13.8,5.4
"Kentucky","Kerosene-Type Jet Fu",35918,40872,369572,385435,17.6,4.2,4.0
"Kentucky","Kerosene","W","W","W","W","W","W","NA"
