"Area","Product","October_2016","November_2016","YTD_2015","YTD_2016","PctChgMonthAgo","PctChgYearAgo","PctChg_YTD"
"Subdistrict 1A","Regular",482409,463265,4991949,5176981,-0.8,6.1,3.4
"Subdistrict 1A","Conventional",57112,52952,776732,620867,-4.2,-0.2,-20.3
"Subdistrict 1A","Reformulated",425297,410313,4215217,4556114,-0.3,6.9,7.8
"Subdistrict 1A","Midgrade",10102,9542,105728,110532,-2.4,6.9,4.2
"Subdistrict 1A","Conventional",453,400,7362,5391,-8.8,-5.9,-27.0
"Subdistrict 1A","Reformulated",9649,9142,98366,105141,-2.1,7.5,6.6
"Subdistrict 1A","Premium",62538,59753,587603,667840,-1.3,12.0,13.3
"Subdistrict 1A","Conventional",4270,3858,56718,51259,-6.6,3.3,-9.9
"Subdistrict 1A","Reformulated",58268,55895,530885,616581,-0.9,12.7,15.8
"Subdistrict 1A","Total Distillate","W","W","W","W","W","W","W"
"Subdistrict 1A","No. 1 Distillate","W","W","W","W","W","W","NA"
"Subdistrict 1A","No. 2 Distillate",187846,230577,2526893,2285688,26.8,10.1,-9.8
"Subdistrict 1A","No. 2 Fuel Oil",81877,127549,1330195,1142719,61.0,15.4,-14.4
"Subdistrict 1A","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"Subdistrict 1A","Ultra Low Sulfur","W","W","W","W","W","W","NA"
"Subdistrict 1A","Low Sulfur","-","-","-","-","-","-","-"
"Subdistrict 1A","High Sulfur","W","W","W","W","W","W","NA"
"Subdistrict 1A","No. 4 Fuel","W","W","W","W","W","W","NA"
"Subdistrict 1A","Aviation Gasoline",468,443,5522,5541,-2.2,17.2,0.0
"Subdistrict 1A","Kerosene-Type Jet Fu",45251,36749,357908,498805,-16.1,20.5,39.0
"Subdistrict 1A","Kerosene",2617,3371,35856,"W",33.1,4.8,"NA"
"Subdistrict 1A","Propane",36698,52660,514991,473122,48.3,20.1,-8.4
"Subdistrict 1A","Residual Fuel Oil",5443,"W",71188,"W",,"W","NA"
"Subdistrict 1A","Sulfur Content  <= 1","W","W","W","W","W","W","NA"
"Subdistrict 1A","Sulfur Content  > 1","W","W","W","W","W","W","NA"
"Connecticut","Motor Gasoline",130930,127139,1452842,1456136,0.3,-1.1,-0.1
"Connecticut","Regular",110544,107552,1262164,1236403,0.5,-2.2,-2.3
"Connecticut","Conventional","-","-","-","-","-","-","-"
"Connecticut","Reformulated",110544,107552,1262164,1236403,0.5,-2.2,-2.3
"Connecticut","Midgrade",2717,2555,27209,28898,-2.8,5.1,5.9
"Connecticut","Conventional","-","-","-","-","-","-","-"
"Connecticut","Reformulated",2717,2555,27209,28898,-2.8,5.1,5.9
"Connecticut","Premium",17669,17032,163469,190835,-0.4,5.6,16.4
"Connecticut","Conventional","-","-","-","-","-","-","-"
"Connecticut","Reformulated",17669,17032,163469,190835,-0.4,5.6,16.4
"Connecticut","Total Distillate","W","W","W","W","W","W","W"
"Connecticut","No. 1 Distillate","W",257,"W","W",,-35.4,"NA"
"Connecticut","No. 2 Distillate",41479,54451,609366,542391,35.6,0.2,-11.3
"Connecticut","No. 2 Fuel Oil",18732,32325,329438,275542,78.3,7.9,-16.6
"Connecticut","No. 2 Diesel Fuel","NA","NA","NA","NA","NA","NA","NA"
"Connecticut","Ultra Low Sulfur",22747,22126,279928,266849,0.5,-9.3,-5.0
"Connecticut","Low Sulfur","-","-","-","-","-","-","-"
"Connecticut","High Sulfur","-","-","-","-","-","-","-"
"Connecticut","No. 4 Fuel","-","W","W","W","W","W","NA"
"Connecticut","Aviation Gasoline",67,58,"W",742,-10.5,-28.4,"NA"
"Connecticut","Kerosene-Type Jet Fu",4897,5484,53804,55249,15.7,36.9,2.4
"Connecticut","Kerosene","W","W","W","W","W","W","NA"
"Connecticut","Propane",3738,5380,50806,45467,48.7,33.3,-10.8
"Connecticut","Residual Fuel Oil","W","W","W","W","W","W","NA"
"Connecticut","Sulfur Content  <= 1","W","W","W","W","W","W","NA"
"Connecticut","Sulfur Content  > 1","-","-","W","-","-","-","NA"
"Maine","Motor Gasoline",61581,56523,655516,660638,-5.2,4.8,0.5
"Maine","Regular",57296,52701,607926,611065,-5.0,4.9,0.2
"Maine","Conventional",22383,20556,"W",249420,-5.1,-3.7,"NA"
"Maine","Reformulated",34913,32145,"W",361645,-4.9,11.3,"NA"
