State Code,Entry Point,Volume,Price,Volume,Price,Volume,Price,Volume,Price,Volume,Price
US,LNG (Other),,,,,,,,,,
OO,"Freeport, TX",0,--,0,--,0,--,2703,12.95,0,--
OO,Total,0,--,0,--,0,--,2703,12.95,0,--
US,,,,,,,,,,,
US,Total LNG,348939,5.63,174649,4.27,96859,6.8,59275,8.85,91511,7.37
US,,,,,,,,,,,
US,Total LNG (by entry),,,,,,,,,,
US,"Cameron, LA",12662,8.13,5716,10.54,0,--,0,--,0,--
US,"Champlain, NY",0,--,0,--,0,--,63,10.69,26,8.78
US,"Cove Point, MD",13981,5.3,2790,13.82,5366,15.29,11585,8.34,12091,4.91
US,"Elba Island, GA",75641,4.2,59266,2.78,15575,3.36,7155,4.33,11786,2.83
US,"Everett, MA",135278,4.77,86609,3.7,63987,5.49,28825,8,49683,7.64
US,"Freeport, TX",21427,9.27,5851,10.53,5627,14.85,5698,13.88,5992,15.12
US,"Golden Pass, TX",36284,5.36,0,--,0,--,0,--,0,--
US,"Gulf LNG, MS",5774,12.93,0,--,0,--,0,--,0,--
US,"Highgate Springs, VT",0,--,0,--,555,12.72,63,9.45,400,8.7
US,"Lake Charles, LA",2282,4.18,2514,2.1,0,--,0,--,0,--
US,Northeast Gateway,0,--,0,--,0,--,0,--,2610,12.74
US,"Portal, ND",0,--,0,--,0,--,0,--,1,29.03
US,"Sabine Pass, LA",45610,7.58,11902,7.99,5750,14.4,5880,14.59,8911,8.32
US,"Sumas, WA",0,--,0,--,0,--,5,8.42,11,6.22
US,,,,,,,,,,,
US,CNG (Canada),,,,,,,,,,
CN,"Houlton, ME",0,--,0,--,0,--,303,12.37,291,4.18
CN,Total CNG,0,--,0,--,0,--,303,12.37,291,4.18
US,,,,,,,,,,,
US,Total Imports,3468693,4.24,3137789,2.88,2883355,3.83,2695378,5.3,2718094,2.99
