"STATE CODE","","2011","2012","2013","2014","2015"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"MA","Oil Wells","0","0","0","0","0"
"MA","Gas Wells","0","0","0","0","0"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"MA","From Gas Wells","0","0","0","0","0"
"MA","From Oil Wells","0","0","0","0","0"
"MA","From Coalbed Wells","0","0","0","0","0"
"MA","From Shale Gas Wells","0","0","0","0","0"
"US",""
"MA","Total","0","0","0","0","0"
"US",""
"MA","Repressuring","0","0","0","0","0"
"MA","Vented and Flared","0","0","0","0","0"
"MA","Nonhydrocarbon Gases Removed","0","0","0","0","0"
"MA","Marketed Production","0","0","0","0","0"
"MA","NGPL Production","0","0","0","0","0"
"US",""
"MA","Total Dry Production","0","0","0","0","0"
"US",""
"US","Supply (million cubic feet)"
"MA","Dry Production","0","0","0","0","0"
"US","Receipts at U.S. Borders"
"MA","Imports","135278","86609","63987","28825","52293"
"MA","Intransit Receipts","0","0","0","0","0"
"MA","Interstate Receipts","409352","431454","457483","483629","488977"
"US","Withdrawals from Storage"
"MA","Underground Storage","0","0","0","0","0"
"MA","LNG Storage","8311","5189","9203","9887","9733"
"MA","Supplemental Gas Supplies","0","*","3","108","90"
"MA","Balancing Item","-396","-5475","-12929","-3929","-1222"
"US",""
"MA","Total Supply","552545","517778","517746","518520","549871"
"US","Disposition (million cubic feet)"
"MA","Consumption","449194","416350","421001","421671","444263"
"US","Deliveries at U.S. Borders"
"MA","Exports","0","0","0","0","0"
"MA","Intransit Deliveries","0","0","0","0","0"
"MA","Interstate Deliveries","95793","97623","88406","86228","96297"
"US","Additions to Storage"
"MA","Underground Storage","0","0","0","0","0"
"MA","LNG Storage","7558","3805","8339","10621","9311"
"US",""
"MA","Total Disposition","552545","517778","517746","518520","549871"
"US",""
"US","Consumption (million cubic feet)"
"MA","Lease Fuel","0","0","0","0","0"
"MA","Pipeline and Distribution Use","4657","3712","2759","7810","10356"
"MA","Plant Fuel","0","0","0","0","0"
"US","Delivered to Consumers"
"MA","Residential","129217","115310","116867","126902","126662"
"MA","Commercial","81068","73040","99781","105801","105397"
"MA","Industrial","47590","43928","46677","45581","44554"
"MA","Vehicle Fuel","760","761","699","719","802"
"MA","Electric Power","185903","179598","154217","134858","156492"
"US",""
"MA","Total Delivered to Consumers","444537","412637","418241","413860","433907"
"US",""
"MA","Total Consumption","449194","416350","421001","421671","444263"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"MA","Residential","13779","14056","525","673","717"
"MA","Commercial","40562","37545","60474","61073","57742"
"MA","Industrial","37810","36173","38137","35435","32701"
"US",""
"US","Number of Consumers"
"MA","Residential","1408314","1447947","1467578","1461350","1478072"
"MA","Commercial","138225","142825","144246","139556","140533"
"MA","Industrial","10721","10840","11063","10946","11266"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"MA","Commercial","586","511","692","758","750"
"MA","Industrial","4439","4052","4219","4164","3955"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"MA","Imports","4.77","3.69","5.49","8.00","7.90"
"MA","Exports","--","--","--","--","--"
"MA","Citygate","7.04","6.03","6.20","6.96","5.72"
"US","Delivered to Consumers"
"MA","Residential","13.81","13.22","13.49","14.50","13.02"
"MA","Commercial","11.68","10.68","11.25","12.48","10.81"
"MA","Industrial","10.14","9.82","10.15","11.53","9.22"
"MA","Electric Power","5.07","3.68","5.96","6.66","4.38"
