"STATE CODE","","2011","2012","2013","2014","2015"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"ND","Oil Wells","5561","7379","9363","11532","12799"
"ND","Gas Wells","526","451","423","398","462"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"ND","From Gas Wells","14287","22261","24313","21956","25969"
"ND","From Oil Wells","27739","17434","12854","13973","11515"
"ND","From Coalbed Wells","0","0","0","0","0"
"ND","From Shale Gas Wells","114998","218873","308620","427287","547258"
"US",""
"ND","Total","157025","258568","345787","463216","584743"
"US",""
"ND","Repressuring","0","0","0","NA","NA"
"ND","Vented and Flared","49652","79564","102855","129717","106590"
"ND","Nonhydrocarbon Gases Removed","10271","6762","7221","7008","6650"
"ND","Marketed Production","97102","172242","235711","326491","471504"
"ND","NGPL Production","14182","26114","36840","50590","89851"
"US",""
"ND","Total Dry Production","82920","146128","198871","275901","381653"
"US",""
"US","Supply (million cubic feet)"
"ND","Dry Production","82920","146128","198871","275901","381653"
"US","Receipts at U.S. Borders"
"ND","Imports","448977","433721","432509","433256","419835"
"ND","Intransit Receipts","42400","54645","72977","55199","57880"
"ND","Interstate Receipts","836026","775650","744335","625069","580676"
"US","Withdrawals from Storage"
"ND","Underground Storage","0","0","0","0","0"
"ND","LNG Storage","0","0","0","0","0"
"ND","Supplemental Gas Supplies","51303","52541","45736","48394","48601"
"ND","Balancing Item","6136","5087","9498","-18820","-39334"
"US",""
"ND","Total Supply","1467762","1467772","1503926","1418999","1449312"
"US","Disposition (million cubic feet)"
"ND","Consumption","72463","72740","81593","86881","92630"
"US","Deliveries at U.S. Borders"
"ND","Exports","0","0","0","11","5"
"ND","Intransit Deliveries","0","0","0","0","0"
"ND","Interstate Deliveries","1395299","1395033","1422333","1332107","1356678"
"US","Additions to Storage"
"ND","Underground Storage","0","0","0","0","0"
"ND","LNG Storage","0","0","0","0","0"
"US",""
"ND","Total Disposition","1467762","1467772","1503926","1418999","1449312"
"US",""
"US","Consumption (million cubic feet)"
"ND","Lease Fuel","3200","4595","6486","9544","12048"
"ND","Pipeline and Distribution Use","13575","15619","14931","15446","14302"
"ND","Plant Fuel","5473","5887","6707","5736","8079"
"US","Delivered to Consumers"
"ND","Residential","10937","9594","12085","12505","10552"
"ND","Commercial","10973","10364","13236","13999","12317"
"ND","Industrial","28303","26680","27812","27762","31660"
"ND","Vehicle Fuel","1","1","*","*","*"
"ND","Electric Power","*","1","337","1888","3671"
"US",""
"ND","Total Delivered to Consumers","50214","46639","53469","56155","58201"
"US",""
"ND","Total Consumption","72463","72740","81593","86881","92630"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"ND","Residential","0","0","0","0","0"
"ND","Commercial","795","837","981","968","855"
"ND","Industrial","17721","17433","17278","18128","19380"
"US",""
"US","Number of Consumers"
"ND","Residential","125392","130044","133975","137972","141465"
"ND","Commercial","18421","19089","19855","20687","21345"
"ND","Industrial","259","260","266","269","286"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"ND","Commercial","596","543","667","677","577"
"ND","Industrial","109278","102614","104556","103204","110701"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"ND","Imports","4.04","2.72","3.59","5.00","2.39"
"ND","Exports","--","--","--","14.71","9.13"
"ND","Citygate","5.06","4.43","4.99","6.37","4.46"
"US","Delivered to Consumers"
"ND","Residential","8.10","7.43","7.43","8.86","8.15"
"ND","Commercial","7.00","6.04","6.32","7.74","6.62"
"ND","Industrial","5.10","4.48","4.14","5.61","3.13"
"ND","Electric Power","8.66","6.44","6.14","4.09","2.89"
