"State Code","State","Sales","Transported","Total","Sales","Transported","Total"
"US"
"AL","Alabama             ","67718","129","67847","67619","127","67746"
"AK","Alaska              ","13336","63","13399","13529","20","13549"
"AZ","Arizona             ","56331","318","56649","56451","342","56793"
"AR","Arkansas            ","68291","720","69011","68438","827","69265"
"CA","California          ","385878","57237","443115","391672","54838","446510"
"US",""
"CO","Colorado            ","149921","314","150235","150230","315","150545"
"CT","Connecticut         ","51613","4978","56591","54165","3238","57403"
"DE","Delaware            ","12902","450","13352","12967","463","13430"
"DC","District of Columbia","6665","3384","10049","6612","3363","9975"
"FL","Florida             ","41303","26158","67461","37647","27666","65313"
"US",""
"GA","Georgia             ","31850","90728","122578","31850","91457","123307"
"HI","Hawaii              ","2789","0","2789","2815","0","2815"
"ID","Idaho               ","40188","41","40229","40704","40","40744"
"IL","Illinois            ","235097","59294","294391","231769","64100","295869"
"IN","Indiana             ","140196","19400","159596","141013","19038","160051"
"US",""
"IA","Iowa                ","97413","1773","99186","97834","1828","99662"
"KS","Kansas              ","79018","6636","85654","79430","6604","86034"
"KY","Kentucky            ","81338","4292","85630","81834","4127","85961"
"LA","Louisiana           ","58823","173","58996","57695","178","57873"
"ME","Maine               ","9859","1951","11810","10216","1672","11888"
"US",""
"MD","Maryland            ","53961","23885","77846","53651","24487","78138"
"MA","Massachusetts       ","120803","18753","139556","121754","18779","140533"
"MI","Michigan            ","219240","33887","253127","222427","32057","254484"
"MN","Minnesota           ","135853","527","136380","138279","592","138871"
"MS","Mississippi         ","49870","41","49911","49766","55","49821"
"US",""
"MO","Missouri            ","141587","1547","143134","140144","1072","141216"
"MT","Montana             ","34558","647","35205","35022","755","35777"
"NE","Nebraska            ","41467","15724","57191","41718","15803","57521"
"NV","Nevada              ","42163","175","42338","42682","178","42860"
"NH","New Hampshire       ","14527","2894","17421","15077","3108","18185"
"US",""
"NJ","New Jersey          ","186591","53492","240083","190255","51162","241417"
"NM","New Mexico          ","46299","3917","50216","46604","3980","50584"
"NY","New York            ","257375","132514","389889","264161","133495","397656"
"NC","North Carolina      ","119984","127","120111","121711","131","121842"
"ND","North Dakota        ","20623","64","20687","21283","62","21345"
"US",""
"OH","Ohio                ","37035","232723","269758","36612","233369","269981"
"OK","Oklahoma            ","91403","4602","96005","91797","4674","96471"
"OR","Oregon              ","80422","58","80480","80772","105","80877"
"PA","Pennsylvania        ","183683","55998","239681","182223","59459","241682"
"RI","Rhode Island        ","21947","1987","23934","22084","2004","24088"
"US",""
"SC","South Carolina      ","56225","98","56323","56768","103","56871"
"SD","South Dakota        ","23330","261","23591","23784","256","24040"
"TN","Tennessee           ","130931","96","131027","132294","98","132392"
"TX","Texas               ","313971","2785","316756","316538","2974","319512"
"UT","Utah                ","64931","203","65134","65917","226","66143"
"US",""
"VT","Vermont             ","5589","0","5589","5696","0","5696"
"VA","Virginia            ","87470","11271","98741","87674","11969","99643"
"WA","Washington          ","101606","124","101730","102129","137","102266"
"WV","West Virginia       ","33574","765","34339","33706","742","34448"
"WI","Wisconsin           ","166750","1151","167901","168097","1174","169271"
"WY","Wyoming             ","14452","6442","20894","14291","6525","20816"
"US",""
"US","Total","4528749","884797","5413546","4559406","889774","5449180"
