"STATE CODE","","2011","2012","2013","2014","2015"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"CT","Oil Wells","0","0","0","0","0"
"CT","Gas Wells","0","0","0","0","0"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"CT","From Gas Wells","0","0","0","0","0"
"CT","From Oil Wells","0","0","0","0","0"
"CT","From Coalbed Wells","0","0","0","0","0"
"CT","From Shale Gas Wells","0","0","0","0","0"
"US",""
"CT","Total","0","0","0","0","0"
"US",""
"CT","Repressuring","0","0","0","0","0"
"CT","Vented and Flared","0","0","0","0","0"
"CT","Nonhydrocarbon Gases Removed","0","0","0","0","0"
"CT","Marketed Production","0","0","0","0","0"
"CT","NGPL Production","0","0","0","0","0"
"US",""
"CT","Total Dry Production","0","0","0","0","0"
"US",""
"US","Supply (million cubic feet)"
"CT","Dry Production","0","0","0","0","0"
"US","Receipts at U.S. Borders"
"CT","Imports","0","0","0","0","0"
"CT","Intransit Receipts","0","0","0","0","0"
"CT","Interstate Receipts","602876","612920","543700","541355","564179"
"US","Withdrawals from Storage"
"CT","Underground Storage","0","0","0","0","0"
"CT","LNG Storage","526","484","626","1359","1810"
"CT","Supplemental Gas Supplies","0","0","0","0","0"
"CT","Balancing Item","3976","4246","374","5347","5166"
"US",""
"CT","Total Supply","607379","617649","544700","548061","571155"
"US","Disposition (million cubic feet)"
"CT","Consumption","230036","229156","234475","235859","253469"
"US","Deliveries at U.S. Borders"
"CT","Exports","0","0","0","0","0"
"CT","Intransit Deliveries","0","0","0","0","0"
"CT","Interstate Deliveries","376688","387750","309667","311169","316434"
"US","Additions to Storage"
"CT","Underground Storage","0","0","0","0","0"
"CT","LNG Storage","655","743","558","1032","1252"
"US",""
"CT","Total Disposition","607379","617649","544700","548061","571155"
"US",""
"US","Consumption (million cubic feet)"
"CT","Lease Fuel","0","0","0","0","0"
"CT","Pipeline and Distribution Use","6302","4747","4381","4696","5103"
"CT","Plant Fuel","0","0","0","0","0"
"US","Delivered to Consumers"
"CT","Residential","44719","41050","46802","51193","50975"
"CT","Commercial","44832","42346","46418","51221","52453"
"CT","Industrial","26258","26932","29965","28371","25612"
"CT","Vehicle Fuel","27","27","46","19","21"
"CT","Electric Power","107897","114054","106863","100359","119305"
"US",""
"CT","Total Delivered to Consumers","223734","224409","230094","231163","248366"
"US",""
"CT","Total Consumption","230036","229156","234475","235859","253469"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"CT","Residential","1438","1364","2199","2096","1891"
"CT","Commercial","15519","14774","19561","16799","12515"
"CT","Industrial","18120","18233","19949","17200","13489"
"US",""
"US","Number of Consumers"
"CT","Residential","494970","504138","513492","522658","531380"
"CT","Commercial","55028","55407","55500","56591","57403"
"CT","Industrial","3062","3148","4454","4217","3945"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"CT","Commercial","815","764","836","905","914"
"CT","Industrial","8576","8555","6728","6728","6492"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"CT","Imports","--","--","--","--","--"
"CT","Exports","--","--","--","--","--"
"CT","Citygate","5.92","5.12","5.42","5.61","4.07"
"US","Delivered to Consumers"
"CT","Residential","13.83","14.17","13.32","14.13","12.50"
"CT","Commercial","8.48","8.40","9.20","10.24","8.60"
"CT","Industrial","9.16","8.83","6.85","8.07","6.35"
"CT","Electric Power","5.09","3.99","6.23","6.82","4.73"
