"STATE CODE","","2011","2012","2013","2014","2015"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"FL","Oil Wells","30","33","32","30","29"
"FL","Gas Wells","46","41","40","43","44"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"FL","From Gas Wells","0","17182","16459","43","69"
"FL","From Oil Wells","17129","1500","1551","3135","5720"
"FL","From Coalbed Wells","0","0","0","0","0"
"FL","From Shale Gas Wells","0","0","0","0","0"
"US",""
"FL","Total","17129","18681","18011","3178","5790"
"US",""
"FL","Repressuring","0","17909","17718","2682","5291"
"FL","Vented and Flared","0","0","0","NA","NA"
"FL","Nonhydrocarbon Gases Removed","2004","NA","NA","NA","NA"
"FL","Marketed Production","15125","773","292","496","499"
"FL","NGPL Production","0","0","0","233","235"
"US",""
"FL","Total Dry Production","15125","773","292","263","264"
"US",""
"US","Supply (million cubic feet)"
"FL","Dry Production","15125","773","292","263","264"
"US","Receipts at U.S. Borders"
"FL","Imports","0","0","0","0","0"
"FL","Intransit Receipts","0","0","0","0","0"
"FL","Interstate Receipts","1208317","1294620","1208598","1233331","1354710"
"US","Withdrawals from Storage"
"FL","Underground Storage","0","0","0","0","0"
"FL","LNG Storage","0","0","0","0","0"
"FL","Supplemental Gas Supplies","0","0","0","0","0"
"FL","Balancing Item","-5753","33071","16785","-19063","-17154"
"US",""
"FL","Total Supply","1217689","1328463","1225676","1214531","1337820"
"US","Disposition (million cubic feet)"
"FL","Consumption","1217689","1328463","1225676","1214531","1337820"
"US","Deliveries at U.S. Borders"
"FL","Exports","0","0","0","0","0"
"FL","Intransit Deliveries","0","0","0","0","0"
"FL","Interstate Deliveries","0","0","0","0","0"
"US","Additions to Storage"
"FL","Underground Storage","0","0","0","0","0"
"FL","LNG Storage","0","0","0","0","0"
"US",""
"FL","Total Disposition","1217689","1328463","1225676","1214531","1337820"
"US",""
"US","Consumption (million cubic feet)"
"FL","Lease Fuel","4896","6080","5609","0","NA"
"FL","Pipeline and Distribution Use","13546","16359","12494","3471","3170"
"FL","Plant Fuel","0","0","0","272","265"
"US","Delivered to Consumers"
"FL","Residential","16400","14366","15321","16652","15044"
"FL","Commercial","53532","54659","59971","62612","62754"
"FL","Industrial","85444","98144","97819","94479","96124"
"FL","Vehicle Fuel","84","84","175","290","324"
"FL","Electric Power","1043786","1138771","1034288","1036754","1160140"
"US",""
"FL","Total Delivered to Consumers","1199247","1306024","1207573","1210787","1334385"
"US",""
"FL","Total Consumption","1217689","1328463","1225676","1214531","1337820"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"FL","Residential","328","331","333","358","344"
"FL","Commercial","32940","34441","39987","42437","44062"
"FL","Industrial","82885","95481","94688","91213","92888"
"US",""
"US","Number of Consumers"
"FL","Residential","679199","686994","694210","703535","701981"
"FL","Commercial","61582","63477","64772","67461","65313"
"FL","Industrial","630","507","528","520","479"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"FL","Commercial","869","861","926","928","961"
"FL","Industrial","135626","193577","185263","181690","200676"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"FL","Imports","--","--","--","--","--"
"FL","Exports","--","--","--","--","--"
"FL","Citygate","5.07","3.93","4.44","5.05","4.75"
"US","Delivered to Consumers"
"FL","Residential","18.16","18.34","18.46","19.02","19.55"
"FL","Commercial","11.14","10.41","10.87","11.42","10.92"
"FL","Industrial","8.07","6.96","6.77","6.89","6.43"
"FL","Electric Power","5.86","4.80","5.08","5.58","4.41"
