"STATE CODE","","2011","2012","2013","2014","2015"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"NH","Oil Wells","0","0","0","0","0"
"NH","Gas Wells","0","0","0","0","0"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"NH","From Gas Wells","0","0","0","0","0"
"NH","From Oil Wells","0","0","0","0","0"
"NH","From Coalbed Wells","0","0","0","0","0"
"NH","From Shale Gas Wells","0","0","0","0","0"
"US",""
"NH","Total","0","0","0","0","0"
"US",""
"NH","Repressuring","0","0","0","0","0"
"NH","Vented and Flared","0","0","0","0","0"
"NH","Nonhydrocarbon Gases Removed","0","0","0","0","0"
"NH","Marketed Production","0","0","0","0","0"
"NH","NGPL Production","0","0","0","0","0"
"US",""
"NH","Total Dry Production","0","0","0","0","0"
"US",""
"US","Supply (million cubic feet)"
"NH","Dry Production","0","0","0","0","0"
"US","Receipts at U.S. Borders"
"NH","Imports","19826","47451","63446","52160","77866"
"NH","Intransit Receipts","3865","0","0","0","0"
"NH","Interstate Receipts","146961","97267","83074","107488","106024"
"US","Withdrawals from Storage"
"NH","Underground Storage","0","0","0","0","0"
"NH","LNG Storage","108","71","124","185","241"
"NH","Supplemental Gas Supplies","0","0","0","0","0"
"NH","Balancing Item","-3726","-246","-1732","-5684","-5517"
"US",""
"NH","Total Supply","167034","144543","144912","154149","178614"
"US","Disposition (million cubic feet)"
"NH","Consumption","69978","72032","54028","57018","68707"
"US","Deliveries at U.S. Borders"
"NH","Exports","336","199","95","373","735"
"NH","Intransit Deliveries","0","0","0","0","0"
"NH","Interstate Deliveries","96607","72247","90665","96573","108931"
"US","Additions to Storage"
"NH","Underground Storage","0","0","0","0","0"
"NH","LNG Storage","112","65","124","185","240"
"US",""
"NH","Total Disposition","167034","144543","144912","154149","178614"
"US",""
"US","Consumption (million cubic feet)"
"NH","Lease Fuel","0","0","0","0","0"
"NH","Pipeline and Distribution Use","202","27","67","86","99"
"NH","Plant Fuel","0","0","0","0","0"
"US","Delivered to Consumers"
"NH","Residential","6955","6422","7185","7755","7842"
"NH","Commercial","8890","8130","9204","9412","9630"
"NH","Industrial","7083","7007","7866","8456","8386"
"NH","Vehicle Fuel","37","37","62","69","77"
"NH","Electric Power","46812","50408","29644","31240","42673"
"US",""
"NH","Total Delivered to Consumers","69776","72004","53961","56933","68609"
"US",""
"NH","Total Consumption","69978","72032","54028","57018","68707"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"NH","Residential","0","0","0","0","0"
"NH","Commercial","3949","3917","4585","4049","4008"
"NH","Industrial","6326","6376","7280","7682","7574"
"US",""
"US","Number of Consumers"
"NH","Residential","97400","99738","98715","99146","102567"
"NH","Commercial","17186","17758","17298","17421","18185"
"NH","Industrial","362","466","403","193","193"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"NH","Commercial","517","458","532","540","530"
"NH","Industrial","19566","15036","19519","43812","43452"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"NH","Imports","5.45","4.08","6.63","10.55","5.18"
"NH","Exports","7.54","2.62","6.65","4.06","2.96"
"NH","Citygate","8.07","7.15","7.60","9.28","7.64"
"US","Delivered to Consumers"
"NH","Residential","14.67","13.74","13.84","16.27","16.18"
"NH","Commercial","11.46","11.95","12.13","14.96","13.63"
"NH","Industrial","11.57","10.48","10.68","9.46","10.33"
"NH","Electric Power","W","W","W","W","W"
