"STATE CODE","","2011","2012","2013","2014","2015"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"LA","Oil Wells","5201","5057","5078","5285","4968"
"LA","Gas Wells","19318","19345","18802","18660","18382"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"LA","From Gas Wells","883712","775506","780623","720416","619242"
"LA","From Oil Wells","68505","49380","51948","50722","44748"
"LA","From Coalbed Wells","0","0","0","0","0"
"LA","From Shale Gas Wells","2088306","2130551","1534372","1197480","1120806"
"US",""
"LA","Total","3040523","2955437","2366943","1968618","1784797"
"US",""
"LA","Repressuring","5015","NA","2829","3199","4248"
"LA","Vented and Flared","6302","NA","3912","4606","3748"
"LA","Nonhydrocarbon Gases Removed","NA","NA","NA","NA","NA"
"LA","Marketed Production","3029206","2955437","2360202","1960813","1776800"
"LA","NGPL Production","95630","34684","40357","37645","41680"
"US",""
"LA","Total Dry Production","2933576","2920753","2319844","1923168","1735120"
"US",""
"US","Supply (million cubic feet)"
"LA","Dry Production","2933576","2920753","2319844","1923168","1735120"
"US","Receipts at U.S. Borders"
"LA","Imports","60554","20132","5750","5880","8911"
"LA","Intransit Receipts","0","0","0","0","0"
"LA","Interstate Receipts","3933626","3767239","3312655","3167963","3074043"
"US","Withdrawals from Storage"
"LA","Underground Storage","304968","283678","342696","418162","300900"
"LA","LNG Storage","0","0","0","24","23"
"LA","Supplemental Gas Supplies","435","553","560","517","478"
"LA","Balancing Item","173400","161448","199104","247983","226984"
"US",""
"LA","Total Supply","7406559","7153803","6180609","5763698","5346459"
"US","Disposition (million cubic feet)"
"LA","Consumption","1420264","1482343","1396261","1423424","1465495"
"US","Deliveries at U.S. Borders"
"LA","Exports","38552","7655","0","0","0"
"LA","Intransit Deliveries","0","0","0","0","0"
"LA","Interstate Deliveries","5605651","5392947","4455897","3943677","3491826"
"US","Additions to Storage"
"LA","Underground Storage","342092","270858","328452","396597","389137"
"LA","LNG Storage","0","0","0","0","0"
"US",""
"LA","Total Disposition","7406559","7153803","6180609","5763698","5346459"
"US",""
"US","Consumption (million cubic feet)"
"LA","Lease Fuel","80983","54463","57549","41822","39294"
"LA","Pipeline and Distribution Use","51897","49235","36737","50524","34141"
"LA","Plant Fuel","42633","42123","34179","30527","34488"
"US","Delivered to Consumers"
"LA","Residential","39412","31834","38820","44518","36046"
"LA","Commercial","25925","26294","28875","31277","29805"
"LA","Industrial","886158","955750","932425","960033","948918"
"LA","Vehicle Fuel","11","11","46","54","61"
"LA","Electric Power","293245","322632","267629","264668","342742"
"US",""
"LA","Total Delivered to Consumers","1244752","1336522","1267795","1300551","1357572"
"US",""
"LA","Total Consumption","1420264","1482343","1396261","1423424","1465495"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"LA","Residential","0","0","0","0","0"
"LA","Commercial","4260","5778","6434","6581","6468"
"LA","Industrial","764547","815132","800371","928837","919579"
"US",""
"US","Number of Consumers"
"LA","Residential","897513","963688","901635","903686","888023"
"LA","Commercial","58749","63381","59147","58996","57873"
"LA","Industrial","920","963","916","883","845"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"LA","Commercial","441","415","488","530","515"
"LA","Industrial","963216","992472","1017931","1087240","1122980"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"LA","Imports","7.57","7.98","14.40","14.59","8.32"
"LA","Exports","9.63","11.80","--","--","--"
"LA","Citygate","5.67","3.48","4.12","4.90","3.32"
"US","Delivered to Consumers"
"LA","Residential","11.37","11.54","10.80","10.89","10.91"
"LA","Commercial","9.36","8.44","8.59","9.01","8.07"
"LA","Industrial","4.25","2.96","3.86","5.05","3.31"
"LA","Electric Power","4.40","2.99","W","0.00","W"
