"STATE CODE","","2011","2012","2013","2014","2015"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"VA","Oil Wells","2","1","1","2","2"
"VA","Gas Wells","7781","7874","7956","8061","8111"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"VA","From Gas Wells","20375","21802","26815","10143","10679"
"VA","From Oil Wells","0","9","9","12","8"
"VA","From Coalbed Wells","112219","107383","99542","111197","105838"
"VA","From Shale Gas Wells","18501","17212","13016","12309","11059"
"US",""
"VA","Total","151094","146405","139382","133661","127584"
"US",""
"VA","Repressuring","NA","NA","NA","NA","NA"
"VA","Vented and Flared","NA","NA","NA","NA","NA"
"VA","Nonhydrocarbon Gases Removed","NA","NA","NA","NA","NA"
"VA","Marketed Production","151094","146405","139382","133661","127584"
"VA","NGPL Production","0","0","0","0","0"
"US",""
"VA","Total Dry Production","151094","146405","139382","133661","127584"
"US",""
"US","Supply (million cubic feet)"
"VA","Dry Production","151094","146405","139382","133661","127584"
"US","Receipts at U.S. Borders"
"VA","Imports","0","0","0","0","0"
"VA","Intransit Receipts","0","0","0","0","0"
"VA","Interstate Receipts","1224467","1108814","825611","686521","602589"
"US","Withdrawals from Storage"
"VA","Underground Storage","9917","11405","11044","12608","12462"
"VA","LNG Storage","389","402","724","1005","1115"
"VA","Supplemental Gas Supplies","89","48","130","301","180"
"VA","Balancing Item","71428","-48394","-58916","-86004","-71698"
"US",""
"VA","Total Supply","1457384","1218681","917975","748092","672233"
"US","Disposition (million cubic feet)"
"VA","Consumption","373444","410106","418506","419705","499263"
"US","Deliveries at U.S. Borders"
"VA","Exports","0","0","0","0","0"
"VA","Intransit Deliveries","0","0","0","0","0"
"VA","Interstate Deliveries","1069958","796282","487343","314752","158823"
"US","Additions to Storage"
"VA","Underground Storage","12006","10593","11361","12602","12930"
"VA","LNG Storage","1977","1699","764","1033","1217"
"US",""
"VA","Total Disposition","1457384","1218681","917975","748092","672233"
"US",""
"US","Consumption (million cubic feet)"
"VA","Lease Fuel","7206","8408","8408","6898","6584"
"VA","Pipeline and Distribution Use","13957","9443","8475","7424","7945"
"VA","Plant Fuel","0","0","0","0","0"
"US","Delivered to Consumers"
"VA","Residential","79301","70438","85702","92817","85464"
"VA","Commercial","64282","60217","68126","72165","69107"
"VA","Industrial","66147","71486","75998","81040","86817"
"VA","Vehicle Fuel","267","266","210","207","231"
"VA","Electric Power","142284","189848","171588","159155","243116"
"US",""
"VA","Total Delivered to Consumers","352281","392255","401623","405383","484734"
"US",""
"VA","Total Consumption","373444","410106","418506","419705","499263"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"VA","Residential","7882","7402","8655","9211","8973"
"VA","Commercial","29504","28857","30949","31875","31821"
"VA","Industrial","57142","63719","68156","72027","77919"
"US",""
"US","Number of Consumers"
"VA","Residential","1145049","1155636","1170161","1183894","1194338"
"VA","Commercial","96086","96503","97499","98741","99643"
"VA","Industrial","1103","1132","1132","1123","1118"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"VA","Commercial","669","624","699","731","694"
"VA","Industrial","59970","63150","67136","72164","77654"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"VA","Imports","--","--","--","--","--"
"VA","Exports","--","--","--","--","--"
"VA","Citygate","6.64","5.64","5.54","5.98","4.87"
"US","Delivered to Consumers"
"VA","Residential","12.72","12.42","11.68","12.07","11.64"
"VA","Commercial","9.69","8.77","8.83","9.17","8.13"
"VA","Industrial","6.44","5.29","6.02","6.43","5.02"
"VA","Electric Power","5.08","3.38","4.29","6.12","3.55"
