State Code,Exit Point,Volume,Price,Volume,Price,Volume,Price,Volume,Price,Volume,Price
US,,,,,,,,,,,
MX,"Alamo, TX",48850,4.1,72039,2.86,76111,3.81,78866,4.63,69268,2.72
MX,"Clint, TX",96722,4.29,101585,3.08,108573,4.05,123670,4.68,126022,2.7
MX,"Del Rio, TX",282,5.53,355,4.33,372,4.69,324,5.35,306,3.59
MX,"Eagle Pass, TX",2114,4.57,2970,3.41,2608,4.37,3801,5.18,4282,3.78
MX,"El Paso, TX",7381,4.34,6238,3.09,5657,4.05,4054,5.13,3375,2.83
US,,,,,,,,,,,
MX,"Hidalgo, TX",0,--,2506,3.47,9227,3.92,14862,4.68,8817,2.28
MX,"McAllen, TX",56569,4.19,68425,2.95,78000,3.84,79396,4.62,61402,2.85
MX,"Penitas, TX",6871,4.19,0,--,0,--,0,--,0,--
MX,"Rio Bravo, TX",74790,4.14,75026,2.94,78196,3.88,76154,4.47,81837,2.71
MX,"Rio Grande City, TX",0,--,0,--,0,--,8045,4.42,310965,2.85
MX,"Roma, TX",65794,4.14,133769,2.86,138340,3.8,154471,4.62,168049,2.79
MX,Total,498657,4.18,619802,2.94,658368,3.91,728513,4.65,1054271,2.81
US,,,,,,,,,,,
US,Total Pipeline,1435649,4.35,1590531,3.08,1569375,4.06,1497771,5.4,1754918,2.95
US,,,,,,,,,,,
US,LNG (Brazil),,,,,,,,,,
BL,"Freeport, TX",2581,12.74,8142,11.19,0,--,2664,15.51,5533,15.19
BL,"Sabine Pass, LA",8468,11,0,--,0,--,0,--,0,--
BL,Total,11049,11.4,8142,11.19,0,--,2664,15.51,5533,15.19
US,,,,,,,,,,,
US,LNG (Canada),,,,,,,,,,
CN,"Babb, MT",0,--,0,--,0,--,0,--,5,12.95
CN,"Buffalo, NY",0,--,0,--,0,--,0,--,3,7.67
CN,"Crosby, ND",0,--,0,--,0,--,0,--,1,6.81
CN,"Port Huron, MI",0,--,0,--,1,9.48,10,10.16,4,9.66
CN,"Portal, ND",0,--,0,--,0,--,0,--,2,10.18
CN,"Sweetgrass, MT               ",0,--,2,13.29,71,14.38,89,14.95,27,13.48
CN,Total,0,--,2,13.29,71,14.35,99,14.48,41,12.36
US,,,,,,,,,,,
US,LNG (Chile),,,,,,,,,,
CL,"Sabine Pass, LA",2910,13.91,0,--,0,--,0,--,0,--
CL,Total,2910,13.91,0,--,0,--,0,--,0,--
US,,,,,,,,,,,
US,LNG (China),,,,,,,,,,
C2,"Kenai, AK",1127,10.61,0,--,0,--,0,--,0,--
C2,"Sabine Pass, LA",6201,12.25,0,--,0,--,0,--,0,--
C2,Total,7329,11.99,0,--,0,--,0,--,0,--
US,,,,,,,,,,,
US,LNG (Egypt),,,,,,,,,,
EG,"Freeport, Tx",0,--,0,--,0,--,0,--,2947,16.71
EG,Total,0,--,0,--,0,--,0,--,2947,16.71
US,LNG (India),,,,,,,,,,
I2,"Freeport, TX",5993,8.66,3004,11.1,0,--,0,--,0,--
I2,"Sabine Pass, LA",6549,7.85,0,--,0,--,0,--,0,--
I2,Total,12542,8.23,3004,11.1,0,--,0,--,0,--
US,,,,,,,,,,,
US,LNG (Japan),,,,,,,,,,
JA,"Cameron, LA",2741,7.02,0,--,0,--,0,--,0,--
JA,"Kenai, AK",15271,13.05,9342,15.71,0,--,13310,15.74,8262,7.5
JA,"Sabine Pass, LA",0,--,5037,12.07,0,--,0,--,0,--
JA,Total,18012,12.13,14379,14.43,0,--,13310,15.74,8262,7.5
US,,,,,,,,,,,
US,LNG (Mexico),,,,,,,,,,
MX,"Freeport, TX",0,--,0,--,2725,13.45,0,--,0,--
