"STATE CODE","","2011","2012","2013","2014","2015"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"DE","Oil Wells","0","0","0","0","0"
"DE","Gas Wells","0","0","0","0","0"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"DE","From Gas Wells","0","0","0","0","0"
"DE","From Oil Wells","0","0","0","0","0"
"DE","From Coalbed Wells","0","0","0","0","0"
"DE","From Shale Gas Wells","0","0","0","0","0"
"US",""
"DE","Total","0","0","0","0","0"
"US",""
"DE","Repressuring","0","0","0","0","0"
"DE","Vented and Flared","0","0","0","0","0"
"DE","Nonhydrocarbon Gases Removed","0","0","0","0","0"
"DE","Marketed Production","0","0","0","0","0"
"DE","NGPL Production","0","0","0","0","0"
"US",""
"DE","Total Dry Production","0","0","0","0","0"
"US",""
"US","Supply (million cubic feet)"
"DE","Dry Production","0","0","0","0","0"
"US","Receipts at U.S. Borders"
"DE","Imports","0","0","0","0","0"
"DE","Intransit Receipts","0","0","0","0","0"
"DE","Interstate Receipts","76666","84744","92727","92888","72391"
"US","Withdrawals from Storage"
"DE","Underground Storage","0","0","0","0","0"
"DE","LNG Storage","96","66","131","128","131"
"DE","Supplemental Gas Supplies","0","*","*","6","8"
"DE","Balancing Item","7362","21035","7743","13488","34757"
"US",""
"DE","Total Supply","84124","105845","100601","106511","107287"
"US","Disposition (million cubic feet)"
"DE","Consumption","79715","101676","95978","101379","101968"
"US","Deliveries at U.S. Borders"
"DE","Exports","0","0","0","0","0"
"DE","Intransit Deliveries","0","0","0","0","0"
"DE","Interstate Deliveries","4345","4052","4560","4975","5205"
"US","Additions to Storage"
"DE","Underground Storage","0","0","0","0","0"
"DE","LNG Storage","64","117","63","157","115"
"US",""
"DE","Total Disposition","84124","105845","100601","106511","107287"
"US",""
"US","Consumption (million cubic feet)"
"DE","Lease Fuel","0","0","0","0","0"
"DE","Pipeline and Distribution Use","464","1045","970","1042","1126"
"DE","Plant Fuel","0","0","0","0","0"
"US","Delivered to Consumers"
"DE","Residential","10030","8564","10197","11316","11260"
"DE","Commercial","10478","10034","11170","11882","11731"
"DE","Industrial","19760","28737","32154","31004","33126"
"DE","Vehicle Fuel","1","1","1","*","*"
"DE","Electric Power","38984","53295","41487","46136","44725"
"US",""
"DE","Total Delivered to Consumers","79251","100630","95008","100338","100842"
"US",""
"DE","Total Consumption","79715","101676","95978","101379","101968"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"DE","Residential","0","0","0","0","0"
"DE","Commercial","4879","5647","6146","6389","6367"
"DE","Industrial","19436","28644","32057","30899","33028"
"US",""
"US","Number of Consumers"
"DE","Residential","152005","153307","155627","158502","161607"
"DE","Commercial","12931","12997","13163","13352","13430"
"DE","Industrial","129","134","138","141","144"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"DE","Commercial","810","772","849","890","873"
"DE","Industrial","153175","214453","232997","219885","230041"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"DE","Imports","--","--","--","--","--"
"DE","Exports","--","--","--","--","--"
"DE","Citygate","9.03","7.19","5.67","5.54","5.87"
"US","Delivered to Consumers"
"DE","Residential","15.38","15.24","13.65","13.21","12.62"
"DE","Commercial","13.58","13.31","11.78","11.42","10.70"
"DE","Industrial","11.69","11.61","11.24","10.95","10.11"
"DE","Electric Power","W","--","--","W","W"
