"State Code","State","Deliv. Account Others","% Total Comm. Deliv.","Deliv. Others","% Comm. Deliv.","Deliv. Others","% Comm. Deliv.","Deliv. Others","% Comm. Deliv.","Deliv. Others","% Comm. Deliv."
"US"
"AL","Alabama             ","5313","21.1","5126","23.8","5935","23.4","5941","21.6","5618","22.5"
"AK","Alaska              ","2208","11.4","1005","5.1","1022","5.5","980","5.5","325","1.8"
"AZ","Arizona             ","3988","12.2","4213","13.4","4772","14.5","4743","15.6","4992","16.4"
"AR","Arkansas            ","19402","48.5","24772","59.8","26797","56.3","27604","54.5","27415","57.5"
"CA","California          ","112448","45.7","126571","50.0","127588","50.1","122637","51.6","118219","50.1"
"US",""
"CO","Colorado            ","3457","6.2","4061","7.8","3142","5.3","3199","5.5","2973","5.5"
"CT","Connecticut         ","15519","34.6","14774","34.9","19561","42.1","16799","32.8","12515","23.9"
"DE","Delaware            ","4879","46.6","5647","56.3","6146","55.0","6389","53.8","6367","54.3"
"DC","District of Columbia","14029","83.1","12614","82.1","13942","80.9","14022","80.1","13456","78.6"
"FL","Florida             ","32940","61.5","34441","63.0","39987","66.7","42437","67.8","44062","70.2"
"US",""
"GA","Georgia             ","46512","82.2","42971","82.8","46494","81.3","46526","78.8","42181","78.5"
"ID","Idaho               ","3236","19.2","3644","23.0","4181","22.6","3974","23.4","4228","25.3"
"IL","Illinois            ","133561","61.9","118946","63.2","142228","61.6","151386","61.5","138090","64.2"
"IN","Indiana             ","22652","29.8","21758","32.6","26298","31.8","29437","32.4","25572","33.0"
"IA","Iowa                ","14475","27.9","12147","27.8","15556","27.5","14714","25.6","14430","29.3"
"US",""
"KS","Kansas              ","12008","37.4","10239","40.2","12829","38.6","14843","41.1","13424","43.4"
"KY","Kentucky            ","7188","20.8","6941","22.6","7919","21.2","7819","19.6","7361","20.8"
"LA","Louisiana           ","4260","16.4","5778","22.0","6434","22.3","6581","21.0","6468","21.7"
"ME","Maine               ","3576","54.2","4233","57.9","4672","57.4","4598","50.9","4718","46.8"
"MD","Maryland            ","49053","72.7","48271","75.3","52494","73.8","54411","72.7","50836","72.4"
"US",""
"MA","Massachusetts       ","40562","50.0","37545","51.4","60474","60.6","61073","57.7","57742","54.8"
"MI","Michigan            ","75019","45.9","70845","49.0","80247","46.8","83474","44.8","74670","44.4"
"MN","Minnesota           ","9668","10.2","7429","8.9","10508","9.9","10835","9.8","14581","15.7"
"MS","Mississippi         ","2067","10.2","1958","11.0","2123","10.9","2772","12.5","2806","14.2"
"MO","Missouri            ","16750","26.9","16876","30.8","17894","27.7","21481","29.5","17663","28.8"
"US",""
"MT","Montana             ","10426","46.7","9055","47.2","9785","46.7","10021","46.5","9191","47.5"
"NE","Nebraska            ","12649","39.4","11723","44.2","13748","42.7","14128","43.6","12939","43.9"
"NV","Nevada              ","10971","35.7","11195","38.6","12442","39.9","12120","41.6","12581","42.1"
"NH","New Hampshire       ","3949","44.4","3917","48.2","4585","49.8","4049","43.0","4008","41.6"
"NJ","New Jersey          ","129307","67.4","120934","69.2","111366","64.8","137556","68.0","95586","58.6"
"US",""
"NM","New Mexico          ","10062","40.2","10698","43.0","11511","43.0","11704","45.6","11219","44.8"
"NY","New York            ","184262","63.3","179436","66.4","192189","63.9","200776","62.7","199841","64.2"
"NC","North Carolina      ","7804","15.6","8098","16.5","8574","15.5","9069","15.1","9236","16.8"
"ND","North Dakota        ","795","7.2","837","8.1","981","7.4","968","6.9","855","6.9"
"OH","Ohio                ","132566","82.1","126269","86.8","154314","91.7","166690","91.0","152186","91.3"
"US",""
"OK","Oklahoma            ","21697","53.7","21258","58.9","24494","55.4","25705","54.6","23577","56.2"
"OR","Oregon              ","790","2.6","895","3.1","1044","3.4","1129","4.0","1253","4.9"
"PA","Pennsylvania        ","72719","51.5","73461","57.9","89150","59.8","93493","58.6","90958","59.8"
"RI","Rhode Island        ","4669","43.1","4503","44.6","5288","45.5","6295","47.8","5531","46.0"
"SC","South Carolina      ","1973","8.9","2007","9.4","1969","8.3","1832","7.2","1933","8.2"
"US",""
"SD","South Dakota        ","2030","18.3","1721","18.4","2235","18.4","2268","18.4","2029","19.4"
"TN","Tennessee           ","5247","10.1","5029","11.2","5365","10.0","5332","9.3","6091","11.5"
"TX","Texas               ","49056","26.6","44453","27.6","47228","27.2","50618","27.4","50287","28.3"
"UT","Utah                ","5392","13.3","5681","16.1","7539","18.2","8283","21.7","8217","23.0"
"VA","Virginia            ","29504","45.9","28857","47.9","30949","45.4","31875","44.2","31821","46.0"
"US",""
"WA","Washington          ","6535","11.6","6732","12.6","7352","13.2","7634","14.0","7375","14.8"
"WV","West Virginia       ","12228","50.8","11564","51.1","11414","47.1","10438","43.3","10522","46.6"
"WI","Wisconsin           ","20576","23.6","19733","25.6","22133","22.3","24654","23.0","25274","28.0"
"WY","Wyoming             ","4210","36.0","3920","37.4","4456","37.1","4772","39.2","6354","49.1"
"US",""
"US","Total","1394183","44.2","1354780","46.8","1519352","46.1","1600088","46.2","1489576","46.6"
