"STATE CODE","","2011","2012","2013","2014","2015"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"NY","Oil Wells","988","1170","1589","1731","1697"
"NY","Gas Wells","7372","7731","7553","7619","7605"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"NY","From Gas Wells","30495","25985","23111","19808","17609"
"NY","From Oil Wells","629","439","348","393","220"
"NY","From Coalbed Wells","0","0","0","0","0"
"NY","From Shale Gas Wells","0","0","0","0","0"
"US",""
"NY","Total","31124","26424","23458","20201","17829"
"US",""
"NY","Repressuring","0","0","0","0","0"
"NY","Vented and Flared","0","0","0","0","0"
"NY","Nonhydrocarbon Gases Removed","0","0","0","0","0"
"NY","Marketed Production","31124","26424","23458","20201","17829"
"NY","NGPL Production","0","0","0","0","0"
"US",""
"NY","Total Dry Production","31124","26424","23458","20201","17829"
"US",""
"US","Supply (million cubic feet)"
"NY","Dry Production","31124","26424","23458","20201","17829"
"US","Receipts at U.S. Borders"
"NY","Imports","324474","278422","233453","200394","190194"
"NY","Intransit Receipts","0","0","0","0","0"
"NY","Interstate Receipts","1683412","1815699","2079904","1929355","2389416"
"US","Withdrawals from Storage"
"NY","Underground Storage","78713","79170","86917","90001","71653"
"NY","LNG Storage","671","584","528","1194","2135"
"NY","Supplemental Gas Supplies","0","0","0","0","0"
"NY","Balancing Item","66046","69848","121046","237579","-145861"
"US",""
"NY","Total Supply","2184440","2270147","2545306","2478724","2525366"
"US","Disposition (million cubic feet)"
"NY","Consumption","1217324","1223036","1273263","1349203","1358156"
"US","Deliveries at U.S. Borders"
"NY","Exports","38783","68843","184071","201691","188634"
"NY","Intransit Deliveries","0","0","0","0","0"
"NY","Interstate Deliveries","835150","902217","1006949","831103","889203"
"US","Additions to Storage"
"NY","Underground Storage","92660","75635","79917","94858","87575"
"NY","LNG Storage","524","416","1106","1868","1797"
"US",""
"NY","Total Disposition","2184440","2270147","2545306","2478724","2525366"
"US",""
"US","Consumption (million cubic feet)"
"NY","Lease Fuel","498","423","375","323","285"
"NY","Pipeline and Distribution Use","18836","17610","16819","29672","31703"
"NY","Plant Fuel","0","0","0","0","0"
"US","Delivered to Consumers"
"NY","Residential","393825","357709","416357","458313","452148"
"NY","Commercial","291118","270232","300776","320168","311203"
"NY","Industrial","75162","74133","79776","84255","83055"
"NY","Vehicle Fuel","3866","3854","3315","3677","4104"
"NY","Electric Power","434019","499074","455846","452796","475658"
"US",""
"NY","Total Delivered to Consumers","1197990","1205004","1256070","1319208","1326168"
"US",""
"NY","Total Consumption","1217324","1223036","1273263","1349203","1358156"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"NY","Residential","108666","103013","123774","135207","130710"
"NY","Commercial","184262","179436","192189","200776","199841"
"NY","Industrial","69216","69125","74769","79099","77911"
"US",""
"US","Number of Consumers"
"NY","Residential","4353668","4364169","4387456","4406039","4439101"
"NY","Commercial","378005","379396","381228","389889","397656"
"NY","Industrial","6609","5910","6311","6313","6030"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"NY","Commercial","770","712","789","821","783"
"NY","Industrial","11373","12544","12641","13346","13774"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"NY","Imports","4.96","3.83","5.59","8.60","4.98"
"NY","Exports","4.69","3.61","4.29","5.56","3.06"
"NY","Citygate","6.04","5.35","5.02","5.47","4.15"
"US","Delivered to Consumers"
"NY","Residential","13.71","12.97","12.49","12.54","11.20"
"NY","Commercial","9.32","7.84","8.00","8.31","6.86"
"NY","Industrial","8.18","6.92","7.44","8.13","6.62"
"NY","Electric Power","5.56","3.95","5.26","5.42","3.51"
