"STATE CODE","","2011","2012","2013","2014","2015"
"US"
"US","Exports"
"US","Volume (million cubic feet)"
"US","Pipeline"
"CN","Canada              ","936993","970729","911007","769258","700647"
"MX","Mexico              ","498657","619802","658368","728513","1054271"
"US","Total Pipeline Exports","1435649","1590531","1569375","1497771","1754918"
"US","LNG"
"US","Exports"
"US","By Vessel"
"C2","China","1127","0","0","0","0"
"JA","Japan               ","15271","9342","0","13310","8262"
"TW","Taiwan","0","0","0","0","8257"
"US","By Truck"
"CN","Canada","0","2","71","99","41"
"MX","Mexico              ","236","153","128","181","195"
"US","Re-Exports"
"US","By Vessel"
"BL","Brazil","11049","8142","0","2664","5533"
"CL","Chile","2910","0","0","0","0"
"C2","China","6201","0","0","0","0"
"EG","Egypt","0","0","0","0","2947"
"I2","India","12542","3004","0","0","0"
"JA","Japan               ","2741","5037","0","0","0"
"MX","Mexico","0","0","2725","0","0"
"PT","Portugal","0","2618","0","0","0"
"KR","South Korea","9143","0","0","0","0"
"ES","Spain","5918","0","0","0","0"
"TU","Turkey","0","0","0","0","3145"
"UK","United Kingdom","2862","0","0","0","0"
"US","Total LNG Exports","70001","28298","2924","16255","28381"
"US","CNG"
"CN","Canada","0","0","115","217","214"
"US","Total CNG Exports","0","0","115","217","214"
"US","Total Exports","1505650","1618828","1572413","1514242","1783512"
"US",""
"US","Average Price (dollars per"
"US","thousand cubic feet)"
"US","Pipeline"
"CN","Canada              ","4.45","3.17","4.17","6.10","3.15"
"MX","Mexico              ","4.18","2.94","3.91","4.65","2.81"
"US","Total Pipeline Exports","4.35","3.08","4.06","5.40","2.95"
"US","LNG"
"US","Exports"
"US","By Vessel"
"C2","China","10.61","--","--","--","--"
"JA","Japan               ","13.05","15.71","--","15.74","7.50"
"JA","Taiwan","--","--","--","--","7.49"
"US","By Truck"
"CN","Canada","--","13.29","14.35","14.48","12.36"
"MX","Mexico              ","9.31","9.09","10.84","12.50","10.44"
"US","Re-Exports"
"US","By Vessel"
"BL","Brazil","11.40","11.19","--","15.51","15.19"
"CL","Chile","13.91","--","--","--","--"
"C2","China","12.25","--","--","--","--"
"EG","Egypt","--","--","--","--","16.71"
"I2","India","8.23","11.10","--","--","--"
"JA","Japan               ","7.02","12.07","--","--","--"
"MX","Mexico","--","--","13.45","--","--"
"PT","Portugal","--","11.27","--","--","--"
"KR","South Korea","9.98","--","--","--","--"
"ES","Spain","7.77","--","--","--","--"
"TU","Turkey","--","--","--","--","15.99"
"UK","United Kingdom","7.66","--","--","--","--"
"US","Total LNG Exports","10.54","12.82","13.36","15.66","10.92"
"US","CNG"
"CN","Canada","--","--","6.20","12.40","5.73"
"US","Total CNG Exports","--","--","6.20","12.40","5.73"
"US","Total Exports","4.64","3.25","4.08","5.51","3.07"
