"STATE CODE","","2011","2012","2013","2014","2015"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"PA","Oil Wells","7046","7627","7164","8481","7557"
"PA","Gas Wells","61815","62922","61838","67621","68536"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"PA","From Gas Wells","242305","210609","207872","217702","293325"
"PA","From Oil Wells","0","3456","2987","3527","2629"
"PA","From Coalbed Wells","0","0","0","0","0"
"PA","From Shale Gas Wells","1068288","2042632","3048182","4036463","4517028"
"US",""
"PA","Total","1310592","2256696","3259042","4257693","4812983"
"US",""
"PA","Repressuring","NA","NA","NA","NA","NA"
"PA","Vented and Flared","NA","NA","NA","NA","NA"
"PA","Nonhydrocarbon Gases Removed","NA","NA","NA","NA","NA"
"PA","Marketed Production","1310592","2256696","3259042","4257693","4812983"
"PA","NGPL Production","8931","12003","20936","39989","53542"
"US",""
"PA","Total Dry Production","1301661","2244693","3238106","4217704","4759441"
"US",""
"US","Supply (million cubic feet)"
"PA","Dry Production","1301661","2244693","3238106","4217704","4759441"
"US","Receipts at U.S. Borders"
"PA","Imports","0","0","0","0","0"
"PA","Intransit Receipts","0","0","0","0","0"
"PA","Interstate Receipts","2101936","1202776","815746","444128","529701"
"US","Withdrawals from Storage"
"PA","Underground Storage","318974","303072","392983","384286","338796"
"PA","LNG Storage","2415","1763","3726","5339","4345"
"PA","Supplemental Gas Supplies","2","2","3","20","28"
"PA","Balancing Item","-92923","64424","114469","-80969","277351"
"US",""
"PA","Total Supply","3632066","3816730","4565033","4970509","5909661"
"US","Disposition (million cubic feet)"
"PA","Consumption","965742","1037979","1121696","1244371","1285649"
"US","Deliveries at U.S. Borders"
"PA","Exports","0","0","0","0","0"
"PA","Intransit Deliveries","0","0","0","0","0"
"PA","Interstate Deliveries","2292363","2484593","3100098","3296036","4239773"
"US","Additions to Storage"
"PA","Underground Storage","371341","291507","339594","425842","379906"
"PA","LNG Storage","2620","2651","3644","4260","4333"
"US",""
"PA","Total Disposition","3632066","3816730","4565033","4970509","5909661"
"US",""
"US","Consumption (million cubic feet)"
"PA","Lease Fuel","46784","79783","115630","150762","170424"
"PA","Pipeline and Distribution Use","51220","37176","37825","42093","43059"
"PA","Plant Fuel","963","2529","9200","11602","3478"
"US","Delivered to Consumers"
"PA","Residential","219446","197313","231861","254816","235635"
"PA","Commercial","141173","126936","149114","159636","152079"
"PA","Industrial","199594","200169","215406","237013","241287"
"PA","Vehicle Fuel","297","297","312","393","439"
"PA","Electric Power","306266","393775","362349","388056","439248"
"US",""
"PA","Total Delivered to Consumers","866775","918490","959041","1039914","1068687"
"US",""
"PA","Total Consumption","965742","1037979","1121696","1244371","1285649"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"PA","Residential","19374","22422","29545","35043","32012"
"PA","Commercial","72719","73461","89150","93493","90958"
"PA","Industrial","195547","197610","212712","234141","238799"
"US",""
"US","Number of Consumers"
"PA","Residential","2667392","2678547","2693190","2709812","2735796"
"PA","Commercial","233588","235049","237922","239681","241682"
"PA","Industrial","5007","5066","5024","5084","4932"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"PA","Commercial","604","540","627","666","629"
"PA","Industrial","39863","39512","42875","46619","48923"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"PA","Imports","--","--","--","--","--"
"PA","Exports","--","--","--","--","--"
"PA","Citygate","6.28","5.52","5.26","5.59","4.38"
"US","Delivered to Consumers"
"PA","Residential","12.46","11.99","11.63","11.77","11.04"
"PA","Commercial","10.42","10.24","10.11","10.13","9.32"
"PA","Industrial","9.86","9.58","9.13","9.95","8.59"
"PA","Electric Power","4.85","3.15","4.17","5.04","2.52"
