"State Code","State","Synthetic Natural Gas","Propane- Air","Biomass Gas","Other","Total"
"US"
"CO","Colorado            ","0","2","0","4030","4032"
"DE","Delaware","0","8","0","0","8"
"GA","Georgia","0","0","554","0","554"
"HI","Hawaii              ","2719","4","0","0","2724"
"IL","Illinois            ","0","1","0","0","1"
"US",""
"IN","Indiana             ","0","78","0","0","78"
"IA","Iowa","0","*","0","0","*"
"KY","Kentucky            ","0","51","0","0","51"
"LA","Louisiana","0","0","478","0","478"
"MD","Maryland            ","0","818","0","0","818"
"US",""
"MA","Massachusettes","0","90","0","0","90"
"MN","Minnesota           ","0","10","0","0","10"
"MO","Missouri            ","*","0","0","0","*"
"NE","Nebraska            ","0","23","6","0","29"
"NJ","New Jersey          ","0","0","0","463","463"
"US",""
"ND","North Dakota        ","48601","0","0","0","48601"
"OH","Ohio                ","0","80","387","0","467"
"PA","Pennsylvania        ","0","28","0","0","28"
"SC","South Carolina","0","9","0","0","9"
"VT","Vermont             ","0","3","0","0","3"
"VA","Virginia            ","0","180","0","0","180"
"US",""
"US","Total","51320","1386","1425","4493","58625"
