"STATE CODE","","2011","2012","2013","2014","2015"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"DC","Oil Wells","0","0","0","0","0"
"DC","Gas Wells","0","0","0","0","0"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"DC","From Gas Wells","0","0","0","0","0"
"DC","From Oil Wells","0","0","0","0","0"
"DC","From Coalbed Wells","0","0","0","0","0"
"DC","From Shale Gas Wells","0","0","0","0","0"
"US",""
"DC","Total","0","0","0","0","0"
"US",""
"DC","Repressuring","0","0","0","0","0"
"DC","Vented and Flared","0","0","0","0","0"
"DC","Nonhydrocarbon Gases Removed","0","0","0","0","0"
"DC","Marketed Production","0","0","0","0","0"
"DC","NGPL Production","0","0","0","0","0"
"US",""
"DC","Total Dry Production","0","0","0","0","0"
"US",""
"US","Supply (million cubic feet)"
"DC","Dry Production","0","0","0","0","0"
"US","Receipts at U.S. Borders"
"DC","Imports","0","0","0","0","0"
"DC","Intransit Receipts","0","0","0","0","0"
"DC","Interstate Receipts","31016","28075","32263","33437","31379"
"US","Withdrawals from Storage"
"DC","Underground Storage","0","0","0","0","0"
"DC","LNG Storage","0","0","0","0","0"
"DC","Supplemental Gas Supplies","0","0","0","0","0"
"DC","Balancing Item","1846","486","480","412","941"
"US",""
"DC","Total Supply","32862","28561","32743","33848","32320"
"US","Disposition (million cubic feet)"
"DC","Consumption","32862","28561","32743","33848","32320"
"US","Deliveries at U.S. Borders"
"DC","Exports","0","0","0","0","0"
"DC","Intransit Deliveries","0","0","0","0","0"
"DC","Interstate Deliveries","0","0","0","0","0"
"US","Additions to Storage"
"DC","Underground Storage","0","0","0","0","0"
"DC","LNG Storage","0","0","0","0","0"
"US",""
"DC","Total Disposition","32862","28561","32743","33848","32320"
"US",""
"US","Consumption (million cubic feet)"
"DC","Lease Fuel","0","0","0","0","0"
"DC","Pipeline and Distribution Use","1703","1068","1434","1305","817"
"DC","Plant Fuel","0","0","0","0","0"
"US","Delivered to Consumers"
"DC","Residential","12386","11260","13214","14242","13494"
"DC","Commercial","16892","15363","17234","17498","17113"
"DC","Industrial","0","0","0","0","0"
"DC","Vehicle Fuel","879","870","861","802","896"
"DC","Electric Power","1003","0","--","--","--"
"US",""
"DC","Total Delivered to Consumers","31159","27493","31309","32543","31502"
"US",""
"DC","Total Consumption","32862","28561","32743","33848","32320"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"DC","Residential","3099","2934","3302","3735","3609"
"DC","Commercial","14029","12614","13942","14022","13456"
"DC","Industrial","0","0","0","0","0"
"US",""
"US","Number of Consumers"
"DC","Residential","145524","145938","146712","147877","147895"
"DC","Commercial","10050","9771","9963","10049","9975"
"DC","Industrial","0","0","0","0","0"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"DC","Commercial","1681","1572","1730","1741","1716"
"DC","Industrial","0","0","0","0","0"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"DC","Imports","--","--","--","--","--"
"DC","Exports","--","--","--","--","--"
"DC","Citygate","--","--","--","--","--"
"US","Delivered to Consumers"
"DC","Residential","13.06","12.10","12.45","13.05","11.98"
"DC","Commercial","12.24","11.19","11.64","12.18","11.07"
"DC","Industrial","--","--","--","--","--"
"DC","Electric Power","--","--","--","--","--"
