"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","ME","AVTXV"," 1"," 1"," 1"," 1"," 1.3"," 1.2"," 1.1"," 1.3"," 1.4"," 2.1"," 3.7"," 2.6"," 2"," 2.4"," 2.3"," 2.1"," 2.4"," 2"," 2.5"," 2.9"," 2.9"," 1.9"," 1.8"," 1.5"," 1.4"," 1.5"," 1.3"," 1.7"," 1"," 1.5"," 1.4"," 3.2"," 2"," 2.4"," 2.5"," 3.8"," 5.8"," 6.2"," 4.6"," 3.6"," 2.8"," 8.5"," 3"," 2.6"," 2.7"
"2014F","ME","CLACD"," .98"," .84"," 1.09"," 1.11"," 1.54"," 2.59"," 1.79"," 2.08"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","ME","CLACV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","ME","CLCCD"," .98"," .84"," 1.09"," 1.11"," 1.54"," 2.59"," 1.79"," 2.08"," 1.82"," 1.54"," 1.68"," 1.9"," 2.03"," 1.98"," 2.4"," 2.38"," 2.58"," 2.37"," 2.54"," 2.61"," 2.61"," 2.67"," 2.62"," 2.32"," 2.23"," 2.27"," 2.29"," 2.54"," 2.29"," 2.3"," 2.11"," 2.15"," 2.53"," 2.38"," 2.56"," 3.39"," 3.59"," 3.53"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","ME","CLCCV"," .4"," .4"," .5"," .5"," .7"," 1"," .5"," .8"," .5"," .3"," .8"," 1.4"," 2.2"," 1.7"," 2.4"," 2.2"," 3.1"," 2.3"," 1.9"," 1.3"," 2.2"," .7"," 1.9"," 1.2"," .3"," .1"," .2"," .2"," .2"," .2"," .1"," .1"," .1"," .1"," .1"," .2"," .2"," .2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","ME","CLEID"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1.8"," 1.79"," 1.72"," 1.66"," 1.66"," 1.69"," 1.7"," 1.71"," 1.68"," 1.57"," 1.53"," 1.67"," 1.99"," 2.17"," 2.66"," 2.73"," 2.71"," 2.85"," 3.12"," 3.48"," 3.45"," 3.68"," 3.59"," 4.21"," 4.27"
"2014F","ME","CLEIV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6.9"," 10.8"," 10.4"," 10.3"," 10"," 6.6"," 6.8"," 7.1"," 6.4"," 6.1"," 6.5"," 7.7"," 11.3"," 9.4"," 11.4"," 10.3"," 10.2"," 10.2"," 10.2"," 3"," 4.9"," 3.6"," 2.9"," 4.1"," 5.7"
"2014F","ME","CLICD"," .98"," .84"," 1.09"," 1.11"," 1.54"," 2.59"," 1.79"," 2.08"," 1.82"," 1.54"," 1.68"," 1.9"," 2.03"," 1.98"," 2.4"," 2.38"," 2.58"," 2.37"," 2.54"," 2.61"," 2.61"," 2.67"," 2.62"," 2.32"," 2.23"," 2.27"," 2.29"," 2.54"," 2.29"," 2.3"," 2.11"," 2.15"," 2.53"," 2.38"," 2.56"," 3.39"," 3.59"," 3.53"," 4.12"," 4.26"," 4.42"," 5.08"," 6.52"," 5.79"," 5.9"
"2014F","ME","CLICV"," 1.1"," 1.1"," .7"," .7"," 2"," 2"," 1.1"," .2"," .7"," .8"," 4.1"," 4.2"," 11.4"," 9.6"," 8.9"," 9.3"," 20"," 13.3"," 15.1"," 15.9"," 14.5"," 24.1"," 53.9"," 24.5"," 25.5"," 15.9"," 13.2"," 12"," 7.8"," 6.6"," 12"," 6.9"," 5.8"," 7.4"," 7.6"," 10.9"," 10"," 10.4"," 10.8"," 3.4"," 3.8"," 2.9"," 3.2"," 4"," 4.8"
"2014F","ME","CLKCD"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","ME","CLKCV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","ME","CLOCD"," .98"," .84"," 1.09"," 1.11"," 1.54"," 2.59"," 1.79"," 2.08"," 1.82"," 1.54"," 1.68"," 1.9"," 2.03"," 1.98"," 2.4"," 2.38"," 2.58"," 2.37"," 2.54"," 2.61"," 2.61"," 2.67"," 2.62"," 2.32"," 2.23"," 2.27"," 2.29"," 2.54"," 2.29"," 2.3"," 2.11"," 2.15"," 2.53"," 2.38"," 2.56"," 3.39"," 3.59"," 3.53"," 4.12"," 4.26"," 4.42"," 5.08"," 6.52"," 5.79"," 5.9"
"2014F","ME","CLOCV"," 1.1"," 1.1"," .7"," .7"," 2"," 2"," 1.1"," .2"," .7"," .8"," 4.1"," 4.2"," 11.4"," 9.6"," 8.9"," 9.3"," 20"," 13.3"," 15.1"," 15.9"," 14.5"," 24.1"," 53.9"," 24.5"," 25.5"," 15.9"," 13.2"," 12"," 7.8"," 6.6"," 12"," 6.9"," 5.8"," 7.4"," 7.6"," 10.9"," 10"," 10.4"," 10.8"," 3.4"," 3.8"," 2.9"," 3.2"," 4"," 4.8"
"2014F","ME","CLOSB"," 1152"," 1350"," 630"," 677"," 1276"," 767"," 621"," 99"," 387"," 519"," 2420"," 2235"," 5610"," 4859"," 3706"," 3903"," 7721"," 5596"," 5942"," 6111"," 5533"," 9029"," 20557"," 10564"," 11437"," 6993"," 5751"," 4734"," 3390"," 2864"," 5687"," 3203"," 2286"," 3115"," 2973"," 3219"," 2780"," 2937"," 2633"," 797"," 862"," 573"," 489"," 690"," 815"
"2014F","ME","CLRCD"," 1.29"," 1.56"," 1.58"," 1.83"," 2.18"," 2.62"," 2.64"," 3.12"," 3.68"," 3.64"," 3.9"," 4.87"," 4.43"," 4.06"," 4.76"," 4.39"," 4.19"," 3.85"," 3.99"," 3.96"," 4.21"," 4.07"," 3.94"," 3.96"," 4.07"," 4.01"," 3.96"," 3.93"," 3.7"," 3.56"," 3.53"," 4.05"," 4.13"," 4"," 4.91"," 5.42"," 5.69"," 5.69"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","ME","CLRCV"," .7"," .7"," .5"," .5"," .5"," .4"," .3"," .4"," .3"," .2"," .5"," .8"," 1"," .7"," 1.1"," 1.1"," 1.5"," 1.1"," .8"," .5"," .9"," .2"," .6"," .5"," .1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","ME","CLRFB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","ME","CLTCD"," 1.06"," .98"," 1.21"," 1.25"," 1.61"," 2.6"," 1.89"," 2.32"," 2.02"," 1.68"," 1.77"," 2.05"," 2.11"," 2.03"," 2.51"," 2.49"," 2.65"," 2.43"," 2.58"," 2.64"," 2.35"," 2.33"," 2.43"," 2.09"," 2.04"," 2.06"," 2.06"," 2.16"," 1.97"," 1.88"," 1.87"," 1.87"," 2.15"," 2.26"," 2.62"," 3.04"," 3.09"," 3.16"," 3.57"," 3.86"," 3.82"," 4.2"," 4.69"," 4.87"," 4.89"
