VARIABLE,VARIABLE LABEL,FILE NUMBER,VARIABLE ORDER IN FILE,FORMAT
ZWASHLOAD,Imputation Flag for WASHLOAD,3,106,Numeric
ZWASHTEMP,Imputation Flag for WASHTEMP,3,107,Numeric
ZRNSETEMP,Imputation Flag for RNSETEMP,3,108,Numeric
ZAGECWASH,Imputation Flag for AGECWASH,3,109,Numeric
ZESCWASH,Imputation Flag for ESCWASH,3,110,Numeric
ZDRYER,Imputation Flag for DRYER,3,111,Numeric
ZDRYRFUEL,Imputation Flag for DRYRFUEL,3,112,Numeric
ZDRYRUSE,Imputation Flag for DRYRUSE,3,113,Numeric
ZAGECDRYER,Imputation Flag for AGECDRYER,3,114,Numeric
ZWATERBED,Imputation Flag for WATERBED,3,115,Numeric
ZNOWTBDHT,Imputation Flag for NOWTBDHT,3,116,Numeric
ZWTBEDUSE,Imputation Flag for WTBEDUSE,3,117,Numeric
ZCFAN,Imputation Flag for CFAN,3,118,Numeric
ZNUMCFAN,Imputation Flag for NUMCFAN,3,119,Numeric
ZUSECFAN,Imputation Flag for USECFAN,3,120,Numeric
ZSWIMPOOL,Imputation Flag for SWIMPOOL,3,121,Numeric
ZPOOL,Imputation Flag for POOL,3,122,Numeric
ZFUELPOOL,Imputation Flag for FUELPOOL,3,123,Numeric
ZRECBATH,Imputation Flag for RECBATH,3,124,Numeric
ZFUELTUB,Imputation Flag for FUELTUB,3,125,Numeric
ZH2OLAWNSYS,Imputation Flag for H2OLAWNSYS,3,126,Numeric
ZUSEH2OLAWNSYS,Imputation Flag for USEH2OLAWNSYS,3,127,Numeric
ZTVCOLOR,Imputation Flag for TVCOLOR,3,128,Numeric
ZBIGTV,Imputation Flag for BIGTV,3,129,Numeric
ZPLASMANUM,Imputation Flag for PLASMANUM,3,130,Numeric
ZTVRECEP,Imputation Flag for TVRECEP,3,131,Numeric
ZTYPRECEP,Imputation Flag for TYPRECEP,3,132,Numeric
ZCBLCON,Imputation Flag for CBLCON,3,133,Numeric
ZVCR,Imputation Flag for VCR,3,134,Numeric
ZDVD,Imputation Flag for DVD,3,135,Numeric
ZCOMBOVCRDVD,Imputation Flag for COMBOVCRDVD,3,136,Numeric
ZNCOMBOVCRDVD,Imputation Flag for NCOMBOVCRDVD,3,137,Numeric
ZPLAYSTA,Imputation Flag for PLAYSTA,3,138,Numeric
ZPLYSTAHRS,Imputation Flag for PLYSTAHRS,3,139,Numeric
ZTVONWD,Imputation Flag for TVONWD,3,140,Numeric
ZTVONWE,Imputation Flag for TVONWE,3,141,Numeric
ZNOTMOIST,Imputation Flag for NOTMOIST,3,142,Numeric
ZUSENOTMOIST,Imputation Flag for USENOTMOIST,3,143,Numeric
ZMOISTURE,Imputation Flag for MOISTURE,3,144,Numeric
ZUSEMOISTURE,Imputation Flag for USEMOISTURE,3,145,Numeric
ZWELLPUMP,Imputation Flag for WELLPUMP,3,146,Numeric
ZSWAMPCOL,Imputation Flag for SWAMPCOL,3,147,Numeric
ZAQUARIUM,Imputation Flag for AQUARIUM,3,148,Numeric
ZDIPSTICK,Imputation Flag for DIPSTICK,3,149,Numeric
ZNOCORD,Imputation Flag for ZNOCORD,3,150,Numeric
ZCELLPHON,Imputation Flag for CELLPHON,3,151,Numeric
ZANSMACH,Imputation Flag for ANSMACH,3,152,Numeric
ZSTEREO,Imputation Flag for STEREO,3,153,Numeric
ZBOOMBOX,Imputation Flag for BOOMBOX,3,154,Numeric
ZCOMPCTST,Imputation Flag for COMPCTST,3,155,Numeric
ZCOMPNTST,Imputation Flag for COMPNTST,3,156,Numeric
ZOTHSTER,Imputation Flag for OTHSTER,3,157,Numeric
ZBATTOOLS,Imputation Flag for BATTOOLS,3,158,Numeric
