VARIABLE,VARIABLE LABEL,FILE NUMBER,VARIABLE ORDER IN FILE,FORMAT
SURVEY,Year Survey Conducted,5,1,Numeric
DOEID,4-digit identification number,5,2,Numeric
REGIONC,Census Region,5,3,Numeric
DIVISION,Census Division,5,4,Numeric
LRGSTATE,Four Largest States,5,5,Numeric
TYPEHUQ,Type of Home  (Respondent answer),5,6,Numeric
MQRESULT,Mail Questionnaire Codes,5,7,Numeric
NWEIGHT,The Final Weight,5,8,Numeric
HD65,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),5,9,Numeric
CD65,Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),5,10,Numeric
NUMH2OHTRS,Have more than one hot water heater,5,11,Numeric
WHEATOTH,Main equipment also heat water for apartments,5,12,Numeric
WHEATSIZ,Size of households main water heater tank,5,13,Numeric
WHEATAGE,How old is your households main water heater,5,14,Numeric
WHEATSIZ2,Size of second water heater,5,15,Numeric
WHEATAGE2,Age of second waterheater,5,16,Numeric
WATERWAIT,Time you have to have shower hot water,5,17,Numeric
AIRCOND,Do you have air conditioning equipment at home,5,18,Numeric
COOLTYPE,What kind of air-conditioning equipment you have,5,19,Numeric
DUCTS,Have ducts to carry warm air for space heating,5,20,Numeric
ACHOUSE,Air-conditioning equipment cool  all the rooms,5,21,Numeric
ACROOMS,rooms cooled by air-conditioning during summer,5,22,Numeric
CENACHP,Is your central AC system a heat pump,5,23,Numeric
AGECENAC,How old is your households central AC equipment,5,24,Numeric
USECENAC,How household uses central AC during the summer,5,25,Numeric
ACOTHERS,The central AC also cool apartments  condos,5,26,Numeric
THERMAINAC,Have a thermostat for central A/C system,5,27,Numeric
PROTHERMAC,Is that thermostat programmable,5,28,Numeric
AUTOCOOLNITE,Programmable thermostat adjusts A/C at night,5,29,Numeric
AUTOCOOLDAY,Programmable therm adjusts A/C during the day,5,30,Numeric
TEMPHOMEAC,Setting During the day when someone is home,5,31,Numeric
TEMPGONEAC,Setting During the day when no one is home,5,32,Numeric
TEMPNITEAC,Setting During sleeping hours,5,33,Numeric
NUMBERAC,Number of window or wall AC units in your home,5,34,Numeric
WWACAGE,How old is households most-used window/wall unit,5,35,Numeric
ESWWAC,Is most-used wall/window unit Energy-Star,5,36,Numeric
USEWWAC,How household uses window AC during the summer,5,37,Numeric
TREESHAD,Any large trees shade home from afternoon sun,5,38,Numeric
LGT12,Lights are turned on more than 12 hours per day,5,39,Numeric
LGT12EE,Energy efficient bulbs on more than 12 hours per day,5,40,Numeric
LGT4,Lights on between 4 hours and 12 hours per day,5,41,Numeric
