VARIABLE,VARIABLE LABEL,FILE NUMBER,VARIABLE ORDER IN FILE,FORMAT
SURVEY,Year Survey Conducted,2,1,Numeric
DOEID,4-digit identification number,2,2,Numeric
REGIONC,Census Region,2,3,Numeric
DIVISION,Census Division,2,4,Numeric
LRGSTATE,Four Largest States,2,5,Numeric
TYPEHUQ,Type of Home  (Respondent answer),2,6,Numeric
MQRESULT,Mail Questionnaire Codes,2,7,Numeric
NWEIGHT,The Final Weight,2,8,Numeric
HD65,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),2,9,Numeric
CD65,Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),2,10,Numeric
STOVEN,Stove that has both burners and one or two ovens,2,11,Numeric
STOVE,Separate build-in range top or burners,2,12,Numeric
OVEN,Separate built-in oven,2,13,Numeric
MULTSTV,More than one stove with both burners and oven,2,14,Numeric
STOVENFU,Stove use the same fuel for both burners and oven,2,15,Numeric
STOVENAB,What fuel do the burners use,2,16,Numeric
STOVENAO,What fuel does the oven use,2,17,Numeric
MULTOVEN,More than one separate built-in oven,2,18,Numeric
OVENA,What fuel does your separate built-in oven use,2,19,Numeric
OVENUSE,How often you use your oven,2,20,Numeric
OVENCLN,Does your oven have a self-cleaning feature,2,21,Numeric
TYPECLN,Type of oven cleaning,2,22,Numeric
MULTRANG,More than one separate built-in range top,2,23,Numeric
STOVEA,Fuel for separate built-in range top,2,24,Numeric
TOPGRILL,Built-in or stove-top grill,2,25,Numeric
STGRILA,What fuel does your built-in stove-top grill use,2,26,Numeric
MICRO,Use a microwave Oven to do any cooking,2,27,Numeric
AMTMICRO,How often is microwave used,2,28,Numeric
TOASTER,Do use any electric toaster ovens,2,29,Numeric
TSTRFRQ,How often you use your electric toaster oven,2,30,Numeric
TSTRUSE,How the toaster oven is used,2,31,Numeric
NUMMEAL,How often hot meals are usually cooked,2,32,Numeric
FUELFOOD,Which fuels is used most for cooking,2,33,Numeric
COFFEE,Do you use any electric coffee makers,2,34,Numeric
COFFFRQ,How often you make coffee,2,35,Numeric
COFPOTON,How long do you leave the warmer on,2,36,Numeric
NUMFRIG,How many refrigerators do you use in your home,2,37,Numeric
TYPERFR1,Type of first refrigerators,2,38,Numeric
DOORSFR1,Are those doors side-by-side or top-to-bottom,2,39,Numeric
SIZRFRI1,Size of first refrigerator,2,40,Numeric
REFRIGT1,First refrigerator manual of frost-free,2,41,Numeric
ICE,Does refrigerator have through-the-door ice,2,42,Numeric
AGERFRI1,How old is first refrigerator,2,43,Numeric
ESFRIG,Is this an Energy-Star refrigerator,2,44,Numeric
TYPERFR2,Type of second refrigerator,2,45,Numeric
DOORSFR2,Are those doors side-by-side or top-and-bottom,2,46,Numeric
SIZRFRI2,Size of second refrigerator,2,47,Numeric
REFRIGT2,Second refrigerator manual of frost-free,2,48,Numeric
MONRFRI2,Months second refrigerator turned on,2,49,Numeric
AGERFRI2,How old is second refrigerator,2,50,Numeric
TYPERFR3,Type of third refrigerator,2,51,Numeric
DOORSFR3,Are those doors side-by-side or top-and-bottom,2,52,Numeric
SIZRFRI3,Size of third refrigerator,2,53,Numeric
REFRIGT3,Third refrigerator manual or frost-free,2,54,Numeric
MONRFRI3,Months third refrigerator turned on,2,55,Numeric
AGERFRI3,How old is third refrigerator,2,56,Numeric
SEPFREEZ,Does your household use a separate freezer,2,57,Numeric
NUMFREEZ,How many separate freezers are used in your home,2,58,Numeric
UPRTFRZR,What model freezer is this,2,59,Numeric
SIZFREEZ,Size of this freezer,2,60,Numeric
FREEZER,What type of defrosting does this freezer have,2,61,Numeric
AGEFRZR,How old is this freezer,2,62,Numeric
UPRTFRZR2ND,Is second freezer up-right or chest,2,63,Numeric
SIZFREEZ2,Size of second freezer,2,64,Numeric
FREEZER2,Type second freezer defrosting,2,65,Numeric
AGEFRZR2,Age of second freezer,2,66,Numeric
DISHWASH,Does your household use an automatic dishwasher,2,67,Numeric
DWASHUSE,How often automatic dishwasher used,2,68,Numeric
AGEDW,Age of the dishwasher,2,69,Numeric
ZSTOVEN,Imputation Flag for STOVEN,2,70,Numeric
ZSTOVE,Imputation Flag for STOVE,2,71,Numeric
ZOVEN,Imputation Flag for OVEN,2,72,Numeric
ZMULTSTV,Imputation Flag for MULTSTV,2,73,Numeric
ZSTOVENFU,Imputation Flag for STOVENFU,2,74,Numeric
ZSTOVENAB,Imputation Flag for STOVENAB,2,75,Numeric
ZSTOVENAO,Imputation Flag for STOVENAO,2,76,Numeric
ZMULTOVEN,Imputation Flag for MULTOVEN,2,77,Numeric
ZOVENA,Imputation Flag for OVENA,2,78,Numeric
ZOVENUSE,Imputation Flag for OVENUSE,2,79,Numeric
ZOVENCLN,Imputation Flag for OVENCLN,2,80,Numeric
ZTYPECLN,Imputation Flag for TYPECLN,2,81,Numeric
ZMULTRANG,Imputation Flag for MULTRANG,2,82,Numeric
ZSTOVEA,Imputation Flag for STOVEA,2,83,Numeric
ZTOPGRILL,Imputation Flag for TOPGRILL,2,84,Numeric
ZSTGRILA,Imputation Flag for STGRILA,2,85,Numeric
ZMICRO,Imputation Flag for MICRO,2,86,Numeric
ZAMTMICRO,Imputation Flag for AMTMICRO,2,87,Numeric
ZTOASTER,Imputation Flag for TOASTER,2,88,Numeric
ZTSTRFRQ,Imputation Flag for TSTRFRQ,2,89,Numeric
ZTSTRUSE,Imputation Flag for TSTRUSE,2,90,Numeric
ZNUMMEAL,Imputation Flag for NUMMEAL,2,91,Numeric
ZFUELFOOD,Imputation Flag for FUELFOOD,2,92,Numeric
ZCOFFEE,Imputation Flag for COFFEE,2,93,Numeric
ZCOFFFRQ,Imputation Flag for COFFFRQ,2,94,Numeric
ZCOFPOTON,Imputation Flag for COFPOTON,2,95,Numeric
ZNUMFRIG,Imputation Flag for NUMFRIG,2,96,Numeric
ZTYPERFR1,Imputation Flag for TYPERFR,2,97,Numeric
ZDOORSFR1,Imputation Flag for DOORSFR1,2,98,Numeric
ZSIZRFRI1,Imputation Flag for SIZRFRI1,2,99,Numeric
ZREFRIGT1,Imputation Flag for REFRIGT1,2,100,Numeric
ZICE,Imputation Flag for ICE,2,101,Numeric
ZAGERFRI1,Imputation Flag for AGERFRI1,2,102,Numeric
ZESFRIG,Imputation Flag for ESFRIG,2,103,Numeric
ZTYPERFR2,Imputation Flag for TYPERFR2,2,104,Numeric
ZDOORSFR2,Imputation Flag for DOORSFR2,2,105,Numeric
ZSIZRFRI2,Imputation Flag for SIZRFRI2,2,106,Numeric
ZREFRIGT2,Imputation Flag for REFRIGT2,2,107,Numeric
ZMONRFRI2,Imputation Flag for MONRFRI2,2,108,Numeric
ZAGERFRI2,Imputation Flag for AGERFRI2,2,109,Numeric
ZTYPERFR3,Imputation Flag for TYPERFR3,2,110,Numeric
ZDOORSFR3,Imputation Flag for DOORSFR3,2,111,Numeric
ZSIZRFRI3,Imputation Flag for SIZRFRI3,2,112,Numeric
ZREFRIGT3,Imputation Flag for REFRIGT3,2,113,Numeric
ZMONRFRI3,Imputation Flag for MONRFRI3,2,114,Numeric
ZAGERFRI3,Imputation Flag for AGERFRI3,2,115,Numeric
ZSEPFREEZ,Imputation Flag for SEPFREEZ,2,116,Numeric
ZNUMFREEZ,Imputation Flag for NUMFREEZ,2,117,Numeric
ZUPRTFRZR,Imputation Flag for UPRTFRZR,2,118,Numeric
ZSIZFREEZ,Imputation Flag for SIZFREEZ,2,119,Numeric
ZFREEZER,Imputation Flag for FREEZER,2,120,Numeric
ZAGEFRZR,Imputation Flag for AGEFRZR,2,121,Numeric
ZUPRTFRZR2ND,Imputation Flag for UPRTFRZR2ND,2,122,Numeric
ZSIZFREEZ2,Imputation Flag for SIZFREEZ2,2,123,Numeric
ZFREEZER2,Imputation Flag for FREEZER2,2,124,Numeric
ZAGEFRZR2,Imputation Flag for AGEFRZR2,2,125,Numeric
ZDISHWASH,Imputation Flag for DISHWASH,2,126,Numeric
ZDWASHUSE,Imputation Flag for DWASHUSE,2,127,Numeric
ZAGEDW,Imputation Flag for AGEDW,2,128,Numeric
ZESDISHW,Imputation Flag for ESDISHW,2,129,Numeric
